submission_pk,User,ARI
1035465,zlatamaria,0.2150 (1),
1033006,albertSayapin,0.1960 (2),
1033848,AlexanderV,0.1824 (3),
1018284,lilaspourpre,0.1764 (4),
1043779,NadezhdaAlsahanova,0.1301 (5),
1032360,petr_sokerin,0.1257 (6),
1036012,Jull-Or,0.1133 (7),
1039458,IskanderA,0.1109 (8),
1033703,prosvirinKir,0.1000 (9),
1034435,olya-const,0.0618 (10),
1033416,SergeyPetrakov,0.0467 (11),
1032371,NikitaBaramiia,0.0226 (12),
1040045,VladimirBaikalov,0.0211 (13),
