submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
493836,Siyao,23.80 (1),0.67 (1),1.03 (10),0.00 (2),1.00 (3),
494140,wangshen233,23.17 (2),0.66 (2),0.83 (9),0.00 (2),0.00 (2),
492467,Songsaris,23.13 (3),0.65 (4),0.50 (6),0.00 (2),0.00 (2),
493969,BumjunPark,23.09 (4),0.65 (3),0.30 (4),0.00 (2),0.00 (2),
492237,DR_2019,22.85 (5),0.64 (5),0.06 (3),0.00 (2),0.00 (2),
491239,tensorcat,22.80 (6),0.64 (6),0.54 (7),0.00 (2),1.00 (3),
493850,Hyeongmin,22.77 (7),0.64 (7),0.49 (5),0.00 (2),1.00 (3),
492883,in3omnia,22.76 (8),0.63 (8),0.01 (2),0.00 (2),0.00 (2),
494240,WSPark,22.66 (9),0.63 (9),0.72 (8),0.00 (2),0.00 (2),
490264,Mrobot0,22.50 (10),0.63 (10),3.46 (11),0.00 (2),0.00 (2),
493557,bohaohuang,22.44 (11),0.63 (11),-1.00 (1),-1.00 (3),-1.00 (1),
489598,a3232012a,22.33 (12),0.62 (12),-1.00 (1),-1.00 (3),-1.00 (1),
482639,SeungjunNah,19.71 (13),0.48 (13),0.01 (2),1.00 (1),0.00 (2),
