submission_pk,User,Accuracy
880051,weeniedummy,0.834629 (1),
880218,zqlllll,0.821201 (2),
879523,TaTa_yh,0.821201 (2),
879477,hjm,0.820495 (3),
880186,shirly,0.812721 (4),
880173,artemis9,0.810601 (5),
879072,jzsherlock,0.808481 (6),
880004,yangyb,0.803534 (7),
879578,fengkexin,0.797880 (8),
870706,Christel,0.785159 (9),
878627,Caoguojin,0.734982 (10),
865915,Yu_Tian,0.688339 (11),
872961,sahilkhose,0.554770 (12),
878567,rsdc21,0.479859 (13),
879894,thedlnerds,0.426148 (14),
877254,yy_z,0.181625 (15),
