submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
940301,HW-TSC,1.40 (1),0.6364 (1),0.8532 (1),0.7785 (1),2243954093.0 (2),560944640.0 (2),
940610,IST-Unbabel,2.40 (3),0.4482 (2),0.7896 (2),0.6376 (2),2294887576.0 (3),569368609.0 (3),
940587,fblain,2.20 (2),0.3511 (3),0.7655 (3),0.5336 (3),1142441796.0 (1),281297685.0 (1),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
940301,HW-TSC,1.80 (1),0.4190 (1),0.4255 (1),0.9280 (3),2243954093.0 (2),560944640.0 (2),
940610,IST-Unbabel,2.20 (3),0.2591 (2),0.2740 (2),0.9641 (1),2294887576.0 (3),569368609.0 (3),
940587,fblain,2.00 (2),0.1748 (3),0.2036 (3),0.9591 (2),1142441796.0 (1),281297685.0 (1),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
940301,HW-TSC,1.40 (1),0.4101 (1),0.6978 (1),0.6344 (1),2243954093.0 (2),560944640.0 (2),
940610,IST-Unbabel,2.40 (3),0.3447 (2),0.6680 (2),0.6176 (2),2294887576.0 (3),569368609.0 (3),
940587,fblain,2.20 (2),0.2785 (3),0.6436 (3),0.5519 (3),1142441796.0 (1),281297685.0 (1),
