submission_pk,User,AP @ 0.50:0.95,AP @ 0.50,AP @ 0.75,AP @ 0.50:0.95 (small),AP @ 0.50:0.95 (medium),AP @ 0.50:0.95 (large),Execution time
648011,feishen,0.394 (1),0.563 (1),0.427 (1),0.162 (6),0.435 (1),0.611 (1),78.7 (5),
648258,Guyz,0.366 (2),0.529 (3),0.400 (2),0.224 (2),0.387 (3),0.456 (2),246.7 (9),
647434,henryham,0.359 (3),0.523 (4),0.391 (4),0.219 (3),0.376 (4),0.454 (3),195.8 (8),
646451,shizhe,0.352 (4),0.520 (5),0.381 (5),0.216 (4),0.370 (5),0.447 (4),155.1 (7),
648309,DeepBlueAI,0.351 (5),0.530 (2),0.392 (3),0.250 (1),0.393 (2),0.415 (6),60.9 (3),
626965,rill,0.330 (6),0.492 (6),0.355 (6),0.185 (5),0.356 (6),0.426 (5),70.4 (4),
638474,SuHaoshan,0.240 (7),0.372 (7),0.254 (7),0.126 (7),0.254 (7),0.326 (7),126.1 (6),
619969,ByeongjoKim,0.217 (8),0.347 (8),0.230 (8),0.107 (8),0.225 (8),0.285 (8),36.7 (1),
571247,rjbruin,0.049 (9),0.112 (9),0.036 (9),0.010 (9),0.038 (9),0.089 (9),42.3 (2),
