submission_pk,User,< Rank >,MCC,F1 ERR,F1 NOT,F1 Mult,Disk Footprint (Bytes),Model Params
941071,Raphael_NICT,2.33 (1),0.5464 (1),0.8767 (1),0.6667 (1),- (6),2239774281.0 (3),559892482.0 (2),
940153,gjiang,2.50 (2),0.4980 (2),0.8676 (2),0.6231 (3),0.5406 (1),2239830893.0 (4),559908866.0 (3),
940844,HW-TSC,4.17 (3),0.4899 (3),0.8669 (3),0.6133 (4),0.5317 (3),2241232523.0 (5),561947562.0 (7),
940298,joanne.wjy,4.17 (3),0.4797 (4),0.8542 (4),0.6250 (2),0.5339 (2),2244034844.0 (7),560982532.0 (6),
940752,silence1024,4.33 (4),0.4487 (5),0.8497 (6),0.5967 (5),0.5070 (4),2239747529.0 (2),560365209.0 (4),
952571,kw,5.67 (6),0.4257 (6),0.8535 (5),0.5582 (6),- (6),2244030744.0 (6),560981507.0 (5),
940588,fblain,4.67 (5),0.3974 (7),0.8484 (7),0.5317 (7),0.4511 (5),1114634523.0 (1),278635778.0 (1),
