submission_pk,User,SubTask1,SubTask2,SubTask2-relaxed,SubTask3,SubTask4
561018,ashwani345,0.85 (1),0.35 (1),0.44 (1),0.85 (2),0.00 (2),
481118,lukedorney,0.55 (2),0.26 (2),0.40 (2),0.00 (3),0.00 (2),
459006,yingBear,0.53 (3),0.23 (3),0.31 (3),0.86 (1),0.35 (1),
