submission_pk,User,Total Score,F1,BLEU1,BLEU4
854958,lyq,39.62 (1),54.57 (23),43.35 (17),20.95 (11),
850179,DDD7788,32.43 (2),23.67 (21),47.90 (22),25.73 (22),
845954,jwanglvy,32.09 (3),18.07 (13),49.66 (23),28.53 (23),
859581,zxxflyfish,31.08 (4),21.51 (20),47.27 (21),24.46 (20),
847962,passby,30.88 (5),21.08 (19),47.09 (20),24.47 (21),
861174,gzsy,30.44 (6),23.91 (22),44.60 (18),22.81 (17),
859554,zhouzimo,29.74 (7),20.25 (17),44.76 (19),24.22 (19),
849325,infolab_TAMU,28.56 (8),20.80 (18),42.65 (15),22.22 (16),
856418,RiverMount,28.19 (9),19.53 (15),42.94 (16),22.11 (15),
858003,DeepLion,26.48 (10),17.43 (12),40.50 (14),21.51 (14),
858864,LHS,25.20 (11),13.92 (10),40.44 (13),21.25 (12),
856993,SmartX,25.04 (12),13.93 (11),39.92 (12),21.27 (13),
857808,arthas,24.14 (13),13.19 (9),39.05 (10),20.18 (9),
838942,bzG,24.06 (14),12.61 (8),39.36 (11),20.20 (10),
840626,zhouzimo,23.67 (15),9.51 (4),38.39 (9),23.10 (18),
856951,alala,23.25 (16),19.48 (14),33.63 (4),16.63 (3),
856926,dddd_abc,22.94 (17),11.97 (6),37.67 (8),19.17 (8),
833125,gxx,22.94 (17),11.97 (6),37.67 (8),19.17 (8),
830687,hapi,22.94 (17),11.97 (6),37.67 (8),19.17 (8),
819339,WengeLiu,22.94 (17),11.97 (6),37.67 (8),19.17 (8),
842074,flying-cat,22.93 (18),12.42 (7),37.31 (7),19.06 (7),
856072,james_harden,22.14 (19),19.64 (16),31.17 (2),15.59 (2),
858282,ariliang,20.87 (20),10.64 (5),34.27 (5),17.69 (4),
840657,ccjy,20.48 (21),8.45 (2),34.50 (6),18.48 (6),
865764,shuangchun,19.16 (22),6.06 (1),33.08 (3),18.35 (5),
856046,genggui001,16.81 (23),8.88 (3),27.69 (1),13.86 (1),
