submission_pk,User,ROUGE,BLEU,ROUGE-1,ROUGE-2,ROUGE-L
1048883,phoenix120,0.473 (1),0.738 (1),0.547 (1),0.359 (1),0.514 (1),
834771,LOLKEK,0.387 (2),0.695 (2),0.463 (2),0.264 (2),0.433 (2),
835497,Rybolos,0.292 (3),0.596 (3),0.365 (3),0.176 (3),0.335 (3),
