submission_pk,User,FB1 Average,FB1 Entity,FB1 Surface
452414,shashwattrivedi,63.7628 (1),63.7628 (1),63.7628 (1),
451741,gentaiscool,62.7608 (2),62.7608 (2),62.7608 (2),
452950,changhanwang,62.6671 (3),62.6671 (3),62.6671 (3),
452204,jndevanshu,62.1307 (4),62.1307 (4),62.1307 (4),
452550,utpalsikdar,59.2501 (5),59.2501 (5),59.2501 (5),
452951,semantic,56.7205 (6),56.7205 (6),56.7205 (6),
449822,WallyGuzman,54.1612 (7),54.1612 (7),54.1612 (7),
452822,dennis.felske,53.6514 (8),53.6514 (8),53.6514 (8),
447812,gaguilar,53.2802 (9),53.2802 (9),53.2802 (9),
