submission_pk,User,AP (total),AR (total),AP (PL),AR (PL),AP (CR),AR (CR),AP (CS),AR (CS),AP (HW),AR (HW)
826297,why_19970221,77.5 (1),84.6 (1),96.9 (1),98.9 (1),75.4 (1),79.5 (1),69.8 (1),82.0 (1),72.4 (1),78.6 (1),
823116,BoJ,73.7 (2),83.1 (2),96.7 (2),98.8 (2),72.2 (2),79.2 (2),62.2 (3),78.1 (3),69.9 (2),77.8 (2),
811762,wellyoung,70.3 (3),79.9 (3),92.1 (10),96.1 (7),62.8 (3),72.3 (3),64.7 (2),78.9 (2),64.9 (3),72.1 (3),
826448,Tanb,65.1 (4),71.2 (5),95.4 (5),96.8 (6),50.0 (11),51.6 (11),59.9 (4),69.6 (5),55.3 (7),62.4 (6),
822771,snisarg812,64.0 (5),74.4 (4),95.4 (6),96.9 (5),61.8 (5),64.7 (6),48.8 (6),71.4 (4),57.6 (5),64.7 (5),
822243,zangwei,61.9 (6),68.8 (6),92.7 (8),95.1 (8),55.9 (7),58.8 (7),48.0 (7),60.5 (7),56.4 (6),61.6 (7),
823540,mrhuangchuan,60.4 (7),68.7 (7),93.1 (7),94.7 (9),62.2 (4),64.8 (5),41.3 (11),62.9 (6),53.2 (10),55.9 (10),
822271,ChenLeo0129,59.7 (8),68.6 (8),85.2 (11),89.1 (11),50.1 (10),55.3 (9),46.2 (8),60.2 (8),59.9 (4),67.7 (4),
824853,yuzehui1996,59.4 (9),68.3 (9),96.4 (3),97.2 (3),61.5 (6),64.8 (4),36.8 (12),55.2 (12),54.9 (8),60.4 (8),
818055,Dolphin,57.0 (10),65.0 (10),81.5 (12),86.4 (12),54.0 (8),56.9 (8),45.1 (9),58.1 (9),54.4 (9),59.3 (9),
825384,rchou,56.8 (11),61.7 (12),95.7 (4),97.2 (4),34.2 (13),37.7 (13),50.4 (5),57.8 (10),45.5 (12),49.7 (12),
826803,H2020,56.7 (12),63.7 (11),92.4 (9),94.5 (10),50.5 (9),54.3 (10),42.9 (10),56.9 (11),45.6 (11),51.0 (11),
822973,sunpengliang,36.6 (13),40.7 (13),79.0 (13),81.8 (13),37.0 (12),42.3 (12),21.3 (13),27.1 (15),18.6 (14),21.2 (16),
825657,yahaha,15.7 (14),33.0 (15),15.6 (16),29.0 (15),15.2 (14),30.5 (14),12.4 (14),32.7 (14),27.9 (13),37.6 (13),
826731,wrjs,10.7 (15),18.1 (17),14.7 (17),24.9 (17),13.4 (15),22.2 (16),10.2 (16),14.4 (17),14.2 (15),14.2 (17),
825299,Captain_x,10.6 (16),33.2 (14),25.7 (14),36.2 (14),7.7 (17),23.6 (15),11.5 (15),34.4 (13),13.0 (16),34.7 (14),
825292,lemoner20,6.7 (17),24.3 (16),17.1 (15),27.6 (16),8.8 (16),16.8 (17),4.7 (17),23.5 (16),12.5 (17),26.2 (15),
825678,wangyu123456,0.0 (18),0.0 (18),0.0 (18),0.0 (18),0.0 (18),0.0 (18),0.0 (18),0.0 (18),0.0 (18),0.0 (18),
822309,dirichlet123,0.0 (18),0.0 (18),0.0 (18),0.0 (18),0.0 (18),0.0 (18),0.0 (18),0.0 (18),0.0 (18),0.0 (18),
