submission_pk,User,SLS,SLS,SLS,Top-1 Accuracy (%),Top-1 Accuracy (%),Top-1 Accuracy (%),Top-5 Accuracy (%),Top-5 Accuracy (%),Top-5 Accuracy (%),Unseen Participants Top-1 (%),Unseen Participants Top-1 (%),Unseen Participants Top-1 (%),Tail Classes Top-1 (%),Tail Classes Top-1 (%),Tail Classes Top-1 (%)
,PT,TL,TD,Verb,Noun,Action,Verb,Noun,Action,Verb,Noun,Action,Verb,Noun,Action
900768,hrgdscs,4.0 (1),48.70 (1),68.59 (1),39.81 (1),22.15 (3),,,,,,,,,,,,,,,,
899207,ZiyuanHuang,4.0 (1),48.49 (2),67.15 (2),39.49 (2),22.70 (2),,,,,,,,,,,,,,,,
1009395,MTCN,3.0 (2),46.83 (3),66.50 (3),38.98 (3),22.79 (1),,,,,,,,,,,,,,,,
898899,Sudhakaran,4.0 (1),44.82 (4),65.45 (4),37.47 (4),18.96 (6),,,,,,,,,,,,,,,,
900625,TCMT,4.0 (1),43.32 (5),63.09 (6),33.77 (7),20.98 (4),,,,,,,,,,,,,,,,
763120,temporalAgg,3.0 (2),42.65 (6),64.05 (5),36.06 (5),15.92 (8),,,,,,,,,,,,,,,,
737141,lyttonhao,4.0 (1),42.08 (7),62.69 (7),35.18 (6),18.19 (7),,,,,,,,,,,,,,,,
897864,xhking,4.0 (1),38.73 (8),57.02 (10),31.48 (9),19.25 (5),,,,,,,,,,,,,,,,
830838,tsm_transformer,4.0 (1),38.59 (9),58.62 (8),31.63 (8),12.97 (12),,,,,,,,,,,,,,,,
708403,EPIC_TSM_FUSION,4.0 (1),37.39 (10),57.89 (9),30.61 (10),13.45 (11),,,,,,,,,,,,,,,,
769651,EPIC_SLOWFAST_RGB,4.0 (1),36.81 (11),56.39 (11),29.27 (12),13.45 (11),,,,,,,,,,,,,,,,
779828,EPIC_TBN_FUSION,4.0 (1),35.48 (12),56.34 (12),29.27 (12),14.10 (10),,,,,,,,,,,,,,,,
708400,EPIC_TRN_FUSION,4.0 (1),35.28 (13),55.26 (13),29.68 (11),12.18 (13),,,,,,,,,,,,,,,,
770806,kishore,3.0 (2),34.81 (14),53.79 (15),29.08 (13),15.49 (9),,,,,,,,,,,,,,,,
708398,EPIC_TSN_Fusion,4.0 (1),33.57 (15),53.89 (14),27.37 (14),11.43 (14),,,,,,,,,,,,,,,,
673302,single_timestamps_plateaUpdate,4.0 (1),21.79 (16),40.83 (16),18.37 (15),8.23 (15),,,,,,,,,,,,,,,,
