submission_pk,User,Recall@1,Recall@5,Recall@10,MedR
421229,danieljf24,14.400 (1),30.500 (1),39.600 (1),22.000 (1),
417472,antoine77340,7.700 (2),21.800 (2),31.800 (2),35.000 (2),
327531,ElTanque,4.700 (4),15.900 (3),23.400 (3),64.000 (3),
307351,atousa,4.300 (5),12.600 (4),18.900 (4),98.000 (4),
393900,xiaoshan,5.900 (3),10.400 (5),13.300 (5),198.000 (5),
