submission_pk,User,Score on the first task,Score on the second task
838482,paleksandrova,0.3091 (1),- (-),
831130,smpl,0.1820 (2),- (-),
839297,good501,0.1040 (3),- (-),
834578,oserikov,0.0094 (4),- (-),
