submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
444474,nmhkahn,22.49 (16),0.49 (19),1.03 (12),0.00 (2),0.00 (1),
444480,iim_lab,22.40 (19),0.49 (18),0.34 (17),0.00 (2),0.00 (1),
444484,NEU_SMILE_Lab,22.47 (17),0.50 (16),1.56 (7),0.00 (2),0.00 (1),
444475,weideng,22.72 (13),0.50 (14),3.50 (3),0.00 (2),0.00 (1),
444486,blackAI,21.87 (22),0.47 (22),1.05 (11),0.00 (2),0.00 (1),
444476,adamian98,24.59 (2),0.60 (2),1.70 (6),0.00 (2),0.00 (1),
444481,yifita,24.52 (4),0.59 (5),3.40 (4),0.00 (2),0.00 (1),
445295,JSChoi,24.05 (7),0.57 (8),1.00 (13),0.00 (2),0.00 (1),
444556,ShuYuanLi,21.74 (23),0.47 (23),0.96 (15),0.00 (2),0.00 (1),
444660,cskzh,23.90 (8),0.57 (7),0.20 (18),0.00 (2),0.00 (1),
444663,cr2018,22.24 (20),0.49 (20),6.00 (1),0.00 (2),0.00 (1),
444478,hyu_ss,23.20 (12),0.52 (12),0.97 (14),1.00 (1),0.00 (1),
444483,guruzoa,22.57 (15),0.50 (17),1.40 (9),1.00 (1),0.00 (1),
444487,WebsterBei,23.43 (10),0.52 (11),2.00 (5),1.00 (1),0.00 (1),
445326,kincon,21.95 (21),0.47 (21),3.80 (2),0.00 (2),0.00 (1),
444673,yyuan13,24.59 (3),0.60 (3),0.08 (19),0.00 (2),0.00 (1),
445499,jingliting,22.69 (14),0.50 (13),0.72 (16),0.00 (2),0.00 (1),
445510,Hot_Milk,24.47 (5),0.59 (4),1.50 (8),0.00 (2),0.00 (1),
445535,enoch,23.37 (11),0.54 (9),3.50 (3),0.00 (2),0.00 (1),
445565,hkisp_lab,24.73 (1),0.72 (1),2.00 (5),0.00 (2),0.00 (1),
445617,BMIPL_UNIST,24.38 (6),0.58 (6),1.25 (10),0.00 (2),0.00 (1),
445630,JuanLuisGonzalez,22.43 (18),0.50 (15),0.03 (20),0.00 (2),0.00 (1),
444477,boe_sbg,23.59 (9),0.53 (10),-1.00 (21),-1.00 (3),-1.00 (2),
