submission_pk,User,MAP,MRR
677195,RefalMachine2,0.4263 (1),0.4789 (1),
578105,alvadia,0.4007 (2),0.4467 (2),
579369,vvyadrincev,0.3874 (3),0.4384 (3),
811406,vadim_bz,0.3562 (4),0.4077 (4),
567104,lilaspourpre,0.3335 (5),0.3817 (5),
739343,aleksei_pronkin,0.3294 (6),0.3775 (6),
569775,mkunilovskaya,0.2608 (7),0.3073 (7),
739120,Igor_Karpikov,0.0629 (8),0.0744 (8),
