submission_pk,User,Prediction score,Duration
522597,strategist922,1.0000 (1),4.01 (1),
387817,shahram,1.0000 (1),2.01 (10),
387818,Vhee,1.0000 (1),2.01 (35),
387847,Btim,1.0000 (1),2.01 (12),
387848,kherfi.elyes,1.0000 (1),2.00 (45),
387851,sara.hadj-ali,1.0000 (1),2.01 (6),
387852,mickaelmorel,1.0000 (1),2.01 (24),
387859,AlexandreZribi2,1.0000 (1),2.01 (37),
387860,eddyamegandjii,1.0000 (1),2.01 (9),
387861,DevSacre,1.0000 (1),2.01 (41),
387865,Glody,1.0000 (1),2.00 (43),
387878,sulayman1,1.0000 (1),2.00 (42),
387853,Asseme,0.9643 (2),2.00 (48),
856153,acletournel,-1.0000 (3),0.00 (51),
632042,raquelbharrison,-1.0000 (3),0.00 (50),
387799,Div_Kal,-1.0000 (3),3.01 (2),
387815,chaikou.diallo,-1.0000 (3),2.01 (11),
387816,tom.tring,-1.0000 (3),2.00 (46),
387845,alexandre.abgrall,-1.0000 (3),2.01 (15),
387846,SamuelDIOP,-1.0000 (3),2.01 (22),
387849,shoungyu2,-1.0000 (3),2.01 (28),
387850,idirHoumel,-1.0000 (3),2.00 (47),
387854,drheinrich,-1.0000 (3),2.01 (34),
387855,zahiayanes,-1.0000 (3),2.01 (8),
387856,TimotheCaillaud,-1.0000 (3),2.01 (31),
387857,AntoineJourdain1,-1.0000 (3),2.01 (30),
387858,SwannR,-1.0000 (3),2.01 (21),
387862,Cheickna,-1.0000 (3),2.01 (13),
387863,sabrina-chaouche,-1.0000 (3),2.01 (19),
387864,joachim.hostachy,-1.0000 (3),2.01 (18),
387868,EchaimaeOu,-1.0000 (3),2.01 (32),
387882,lise_sun,-1.0000 (3),2.01 (26),
387902,Maxime.Delachaussee,-1.0000 (3),2.01 (33),
387903,Julien_MONGUILLON,-1.0000 (3),2.01 (36),
387904,kevin.ah-son,-1.0000 (3),2.01 (29),
387905,m.dzik,-1.0000 (3),2.01 (25),
387906,nico.devatine,-1.0000 (3),2.01 (17),
387907,Grimpow,-1.0000 (3),2.01 (20),
387908,AlbanB,-1.0000 (3),2.00 (44),
387909,Saruniki,-1.0000 (3),2.01 (40),
387910,simonian.charly,-1.0000 (3),2.01 (27),
387911,antonin.cheymol,-1.0000 (3),2.00 (49),
387912,charles.dehlinger,-1.0000 (3),2.01 (23),
387913,antonin.gallot,-1.0000 (3),2.01 (4),
387914,adrien.chesneau,-1.0000 (3),2.01 (5),
387915,saiddjedid,-1.0000 (3),2.01 (14),
387916,lena15,-1.0000 (3),2.01 (39),
387917,guyon,-1.0000 (3),2.01 (7),
387918,Martinvlls,-1.0000 (3),2.01 (38),
387919,magenta,-1.0000 (3),2.01 (3),
388074,tttamaki,-1.0000 (3),2.01 (16),
