submission_pk,User,DCF,EER
1145894,KristonAI,0.1028 (1),1.9810 (2),
1145276,caiqt,0.1041 (2),2.0210 (3),
965997,snowstar,0.1061 (3),1.8940 (1),
964490,yugi,0.1205 (4),2.8160 (11),
1114667,HMM,0.1233 (5),2.4100 (4),
1114736,zhanggx,0.1238 (6),2.4180 (5),
1114840,xgg-z,0.1241 (7),2.4390 (6),
1105258,katon,0.1328 (8),2.5780 (7),
1105270,rousju,0.1328 (8),2.5780 (7),
990816,JTBD,0.1492 (9),2.7260 (9),
1143619,ml-sv,0.1513 (10),2.6860 (8),
995646,chl2,0.1545 (11),2.7940 (10),
964449,xiaolinlin,0.1551 (12),2.9800 (18),
964314,fxi,0.1665 (13),2.9440 (15),
996776,gmh2020,0.1666 (14),2.9620 (16),
964063,shengyu,0.1669 (15),2.8750 (12),
959887,Maccio,0.1670 (16),3.3050 (21),
966140,sgspk,0.1674 (17),2.8930 (13),
965190,SVD,0.1675 (18),2.9000 (14),
964571,ss1010,0.1679 (19),2.9700 (17),
1041351,curisan,0.1688 (20),3.4170 (24),
964594,deg,0.1688 (20),2.9860 (19),
965247,hellosid,0.1728 (21),3.7170 (31),
964220,ab3007,0.1742 (22),3.3250 (22),
966013,Qingjian,0.1768 (23),3.4540 (25),
965922,Rhinos,0.1788 (24),3.3920 (23),
1119729,vpcainiao,0.1791 (25),3.4670 (26),
966052,njz,0.1800 (26),3.2620 (20),
955201,shaoniandeni,0.1887 (27),3.6430 (30),
958773,zhaohuan,0.1978 (28),3.7290 (32),
966174,holo_xxg,0.2013 (29),3.6290 (29),
958675,Ares-UIBE,0.2037 (30),3.6010 (28),
961856,everyran,0.2045 (31),3.5580 (27),
962455,musician,0.2245 (32),4.1260 (33),
958761,BOSS,0.2306 (33),4.8570 (41),
1021828,RJ_Tao,0.2383 (34),4.3120 (35),
961097,furu,0.2509 (35),4.5670 (37),
1003120,maluanwan2021,0.2513 (36),4.5760 (38),
965401,mryb,0.2542 (37),4.2960 (34),
1021954,shaoniandeni2,0.2590 (38),4.4470 (36),
958513,Rissa,0.2619 (39),5.6460 (51),
957098,yong.chun,0.2674 (40),4.8380 (40),
964313,hello_xgg,0.2695 (41),4.8760 (42),
951945,mrouvier,0.2706 (42),5.0320 (45),
959740,t81618,0.2871 (43),4.9870 (44),
959357,Li-Ruichen,0.2884 (44),4.7660 (39),
968390,xuesongyan,0.3026 (45),5.2340 (48),
952362,nideshaonian,0.3029 (46),5.1420 (47),
959177,_2BeNo1_,0.3030 (47),4.9850 (43),
961791,next,0.3076 (48),5.7250 (52),
961966,i.s.zakharov,0.3182 (49),5.5790 (50),
963261,TK,0.3254 (50),5.0750 (46),
958442,cdd,0.3401 (51),6.0920 (55),
977802,gintautas_vu,0.3508 (52),6.6740 (58),
950900,vgg_oxford,0.3512 (53),5.8750 (54),
978449,rasim.ulgen,0.3635 (54),5.8290 (53),
965501,simon-rtzr,0.3758 (55),6.1620 (56),
965219,sst_ai,0.4065 (56),6.4950 (57),
960794,speaker_voice,0.4108 (57),6.7620 (59),
953553,mlhambc,0.4296 (58),7.6810 (61),
964846,ur0,0.4307 (59),5.5620 (49),
1146348,SHKim,0.4382 (60),7.3730 (60),
967121,SunghwanMun,0.4387 (61),8.0450 (62),
1030538,Fsy,0.4457 (62),8.5420 (63),
970967,xgg006,0.5430 (63),10.6630 (65),
959411,nvaessen,0.5474 (64),10.2050 (64),
968958,KSV,0.9992 (65),45.0170 (66),
