submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
836603,HaoqiangYang,19.2462 (4),0.7022 (3),2.0420 (3),1.0 (1),1.0 (1),
837555,lifu,19.7730 (2),0.7107 (2),2.5000 (2),0.0 (2),0.0 (2),
835887,DeepBlueAI,20.0637 (1),0.7196 (1),0.3400 (7),0.0 (2),0.0 (2),
830943,auy200,19.3352 (3),0.6864 (4),0.6500 (5),0.0 (2),0.0 (2),
829559,elientumba,18.5570 (5),0.6802 (5),0.9700 (4),0.0 (2),0.0 (2),
828007,ms_ipcv,18.2495 (7),0.6160 (9),0.1000 (8),0.0 (2),0.0 (2),
821853,lintianwei,18.4388 (6),0.6674 (6),0.4000 (6),0.0 (2),0.0 (2),
763982,zrfan,17.5727 (9),0.6620 (7),123.4500 (1),1.0 (1),0.0 (2),
836741,MDSWYZ,17.5838 (8),0.6194 (8),-1.0000 (9),-1.0 (3),-1.0 (3),
769038,debut_kele,15.7155 (10),0.5626 (10),-1.0000 (9),-1.0 (3),-1.0 (3),
