submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
575565,Anonymous,27.48 (1),0.76 (3),1.00 (12),0.0 (2),0.0 (2),
576291,Anonymous,27.36 (2),0.76 (1),1.00 (12),0.0 (2),1.0 (1),
574348,Anonymous,27.33 (3),0.76 (4),0.17 (21),1.0 (1),0.0 (2),
579254,Anonymous,27.32 (4),0.76 (2),0.09 (25),0.0 (2),0.0 (2),
584269,Anonymous,27.25 (5),0.76 (5),6.80 (8),1.0 (1),0.0 (2),
586263,Anonymous,27.19 (6),0.75 (7),38.20 (3),0.0 (2),1.0 (1),
576321,Anonymous,27.03 (7),0.75 (9),1.00 (12),0.0 (2),1.0 (1),
540200,Anonymous,27.00 (8),0.75 (6),0.50 (18),0.0 (2),0.0 (2),
555630,Anonymous,26.62 (9),0.74 (10),40.21 (2),0.0 (2),0.0 (2),
531208,Anonymous,26.53 (10),0.73 (13),0.59 (17),1.0 (1),1.0 (1),
569608,Anonymous,26.43 (11),0.74 (11),0.28 (20),0.0 (2),0.0 (2),
587367,Anonymous,26.36 (12),0.75 (8),0.50 (18),0.0 (2),0.0 (2),
575615,Anonymous,26.26 (13),0.73 (12),7.11 (7),0.0 (2),0.0 (2),
586836,Anonymous,26.23 (14),0.70 (20),1.00 (12),0.0 (2),0.0 (2),
578699,Anonymous,26.08 (15),0.70 (19),20.00 (4),0.0 (2),0.0 (2),
546099,Anonymous,26.01 (16),0.69 (25),0.80 (16),0.0 (2),1.0 (1),
547856,Anonymous,25.82 (17),0.70 (18),0.10 (24),0.0 (2),0.0 (2),
577485,Anonymous,25.80 (18),0.69 (22),1.00 (12),0.0 (2),0.0 (2),
547278,Anonymous,25.77 (19),0.69 (24),80.00 (1),0.0 (2),0.0 (2),
543651,Anonymous,25.73 (20),0.70 (21),4.99 (9),0.0 (2),1.0 (1),
546768,Anonymous,25.60 (21),0.71 (15),0.30 (19),0.0 (2),1.0 (1),
764282,Anonymous,25.55 (22),0.71 (17),10.43 (5),1.0 (1),1.0 (1),
529923,Anonymous,25.52 (23),0.67 (27),10.43 (5),1.0 (1),1.0 (1),
565853,Anonymous,25.50 (24),0.67 (26),0.02 (26),0.0 (2),0.0 (2),
545755,Anonymous,25.46 (25),0.69 (23),0.15 (22),0.0 (2),0.0 (2),
932561,Anonymous,25.12 (26),0.73 (14),0.86 (15),0.0 (2),0.0 (2),
586172,Anonymous,24.35 (27),0.65 (28),0.97 (13),0.0 (2),0.0 (2),
565020,Anonymous,24.25 (28),0.64 (29),20.00 (4),0.0 (2),0.0 (2),
579002,Anonymous,23.52 (29),0.64 (30),0.88 (14),0.0 (2),0.0 (2),
577830,Anonymous,23.52 (29),0.64 (30),0.88 (14),0.0 (2),0.0 (2),
543910,Anonymous,23.34 (30),0.71 (16),-1.00 (27),-1.0 (3),-1.0 (3),
543010,Anonymous,22.33 (31),0.49 (32),0.12 (23),0.0 (2),0.0 (2),
541038,Anonymous,21.43 (32),0.44 (33),7.73 (6),0.0 (2),0.0 (2),
555639,Anonymous,21.36 (33),0.62 (31),1.63 (11),0.0 (2),0.0 (2),
550067,Anonymous,19.56 (34),0.31 (34),2.00 (10),0.0 (2),0.0 (2),
570508,Anonymous,19.06 (35),0.24 (35),2.00 (10),0.0 (2),0.0 (2),
531605,Anonymous,19.06 (35),0.24 (35),10.43 (5),0.0 (2),0.0 (2),
