submission_pk,User,Score
1005330,carlosv0410,0.0 (1),
1005329,BryanSalazar,0.0 (1),
1004495,DiegoAlex,0.0 (1),
1003814,SantiagoArias,0.0 (1),
1003116,kevinvic,0.0 (1),
1000514,IvaJJ,0.0 (1),
969939,joseeduardou98,-0.8 (2),
1004447,L_Raul_Caiza,-0.9 (3),
1003991,ja-mc,-1.4 (4),
1005315,jedelgado,-1.4 (5),
974854,JulioCMS,-1.6 (6),
974950,ByronAlonso,-1.6 (7),
978747,Sonam2203,-2.0 (8),
1002394,Kirlian,-2.4 (9),
