submission_pk,User,SIZE(M),RMSE
1008758,zhwzhong,10.28 (2),4.3331 (1),
1007293,wangchy29,18.20 (1),4.3744 (2),
1008201,XibinSong,5.00 (4),5.0866 (3),
1006657,muliao,5.40 (3),5.8376 (4),
1006658,yyh1024,3.08 (5),6.2496 (5),
1008592,statshiba,0.00 (6),7.6572 (6),
