submission_pk,User,Meteor,BLEU
765753,j-min,57.26 (1),39.50 (1),
480674,stig.gronroos,56.60 (2),38.54 (2),
479465,jindra.helcl,52.26 (5),32.53 (3),
479262,renj,50.67 (8),32.05 (4),
490067,adv_rec,52.37 (4),31.91 (5),
477583,ozancaglayan,51.43 (6),31.39 (6),
476021,chiraag,50.69 (7),30.30 (7),
608000,Zixu,47.23 (10),27.94 (8),
516584,syuqing,47.01 (11),27.82 (9),
475611,fblain,47.41 (9),27.63 (10),
479849,loicbarrault,55.48 (3),22.55 (11),
522519,Aizhan,35.29 (12),17.59 (12),
