submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
655062,acehu,21.2788 (13),0.7741 (14),10.4300 (2),0.0 (2),1.0 (1),
653996,veralau,20.7034 (19),0.7649 (18),10.4300 (2),0.0 (2),1.0 (1),
653243,zhangzhilu,22.0901 (2),0.7818 (7),1.3300 (5),0.0 (2),1.0 (1),
1117753,linhaojia13,21.5364 (10),0.7790 (10),0.2000 (10),1.0 (1),0.0 (2),
1116970,llj,21.7381 (6),0.7853 (4),0.1000 (12),1.0 (1),0.0 (2),
655398,wataridori2010,21.5374 (9),0.7809 (8),0.0780 (13),0.0 (2),0.0 (2),
655183,itb202d,21.9545 (3),0.7788 (11),0.0150 (15),0.0 (2),0.0 (2),
654859,mo_ming,22.2507 (1),0.7895 (1),1.5000 (4),1.0 (1),0.0 (2),
654130,zhihongp,4.7532 (27),0.1580 (27),0.2914 (9),0.0 (2),0.0 (2),
653752,qq12345678901234,21.7230 (7),0.7857 (3),0.0100 (16),0.0 (2),0.0 (2),
653739,bhavya_vasudeva,20.8754 (18),0.7712 (15),0.0299 (14),0.0 (2),0.0 (2),
653542,casia2018,21.5832 (8),0.7870 (2),0.0100 (16),1.0 (1),0.0 (2),
653336,WANGHEYU,21.1073 (16),0.7642 (19),0.3000 (8),1.0 (1),0.0 (2),
652021,dkdk6638,20.3811 (20),0.7160 (25),3.4000 (3),0.0 (2),0.0 (2),
651674,egyptdj,21.8942 (4),0.7840 (5),0.0000 (17),0.0 (2),0.0 (2),
650970,Airia_CG,21.0729 (17),0.7689 (16),0.0100 (16),0.0 (2),0.0 (2),
650656,bits_p,8.2652 (26),0.4340 (26),0.0100 (16),0.0 (2),0.0 (2),
648072,dark_1im1ess,21.4819 (11),0.7799 (9),0.5668 (6),0.0 (2),0.0 (2),
647362,cszl,21.7491 (5),0.7820 (6),0.1100 (11),0.0 (2),0.0 (2),
646645,Orihs,21.1955 (15),0.7655 (17),-1.0000 (18),0.0 (2),0.0 (2),
645345,otter,17.6289 (24),0.7294 (24),1378.3194 (1),0.0 (2),0.0 (2),
644536,zhuyu_,21.2645 (14),0.7750 (12),0.0100 (16),0.0 (2),0.0 (2),
643586,kh3005,19.9708 (23),0.7641 (20),-1.0000 (18),0.0 (2),0.0 (2),
643560,yellowmagicorch,17.2485 (25),0.7457 (22),0.3200 (7),0.0 (2),0.0 (2),
643526,baolonghnu,21.3761 (12),0.7745 (13),0.0000 (17),0.0 (2),0.0 (2),
651542,TheClearwind,20.1227 (22),0.7608 (21),-1.0000 (18),-1.0 (3),-1.0 (3),
646803,houbingxin,20.2148 (21),0.7338 (23),-1.0000 (18),-1.0 (3),-1.0 (3),
