submission_pk,User,MAP,MRR
565096,cointegrated,0.4483 (1),0.5049 (2),
562144,Yuriy,0.4355 (2),0.5135 (1),
564928,alvadia,0.3890 (3),0.4419 (3),
563842,maxfed,0.3729 (4),0.4221 (4),
564776,joystick,0.3701 (5),0.4145 (5),
567174,lilaspourpre,0.3335 (6),0.3817 (6),
565030,Parkat13,0.3307 (7),0.3750 (7),
564828,xeno,0.3075 (8),0.3547 (8),
565210,RefalMachine,0.2542 (9),0.2969 (9),
564734,akutuzov,0.2470 (10),0.2897 (10),
565010,vimary,0.1783 (11),0.2115 (11),
564558,vvyadrincev,0.1474 (12),0.1786 (12),
563880,Arshehremen,0.0000 (13),0.0000 (13),
541903,adhaesitadimo,0.0000 (13),0.0000 (13),
