submission_pk,User,meanIoU,Accuracy,Clutter,Building,Road,Tree,Vegetation,Moving Car,Static Car,Human
1040586,LDD2021,0.7268 (1),0.8866 (1),0.7239 (2),0.9045 (3),0.8329 (3),0.8220 (1),0.6693 (1),0.7820 (2),0.7640 (1),0.3160 (6),
1057940,ddd_wuhan,0.7238 (2),0.8859 (2),0.7211 (3),0.9056 (2),0.8363 (2),0.8215 (2),0.6652 (3),0.7768 (3),0.7470 (2),0.3169 (4),
1055659,OuluBK,0.7170 (3),0.8858 (3),0.7266 (1),0.9066 (1),0.8323 (5),0.8188 (4),0.6642 (4),0.7869 (1),0.6836 (6),0.3167 (5),
777541,KangyangWU,0.7145 (4),0.8829 (5),0.7153 (5),0.9023 (4),0.8295 (6),0.8194 (3),0.6640 (5),0.7766 (4),0.6769 (7),0.3319 (2),
1011780,liuwang20144623,0.7127 (5),0.8847 (4),0.7199 (4),0.8972 (5),0.8514 (1),0.8177 (5),0.6614 (6),0.7696 (5),0.6867 (5),0.2980 (8),
925966,YeLyu,0.7087 (6),0.8751 (8),0.7078 (6),0.8851 (9),0.8327 (4),0.8058 (9),0.6259 (12),0.7677 (7),0.7359 (3),0.3089 (7),
1145340,liulu11101,0.7007 (7),0.8778 (6),0.7058 (7),0.8955 (6),0.8180 (7),0.8120 (6),0.6537 (7),0.7486 (8),0.7182 (4),0.2543 (9),
1096933,AlexWang,0.6942 (8),0.8728 (9),0.6978 (9),0.8879 (8),0.8142 (10),0.8059 (8),0.6427 (8),0.7689 (6),0.6020 (10),0.3336 (1),
849640,Clairvoyance,0.6902 (9),0.8766 (7),0.7045 (8),0.8890 (7),0.8153 (9),0.8089 (7),0.6672 (2),0.7268 (9),0.6768 (8),0.2333 (12),
1124463,HuanNi,0.6756 (10),0.8699 (10),0.6900 (10),0.8845 (10),0.8153 (8),0.8051 (10),0.6393 (9),0.6995 (12),0.5505 (12),0.3204 (3),
1124918,xiami,0.6701 (11),0.8658 (11),0.6818 (11),0.8720 (11),0.8087 (11),0.7997 (12),0.6372 (11),0.7195 (10),0.6023 (9),0.2394 (10),
1055948,lironui,0.6568 (12),0.8635 (12),0.6737 (12),0.8720 (12),0.8016 (12),0.8011 (11),0.6373 (10),0.7014 (11),0.5333 (13),0.2343 (11),
1063618,akhileshSharma,0.6005 (13),0.8320 (14),0.6102 (14),0.8253 (14),0.7541 (15),0.7674 (14),0.5872 (13),0.6458 (13),0.4595 (14),0.1545 (13),
922177,nhbach2203,0.5779 (14),0.8169 (16),0.5819 (16),0.8246 (15),0.7029 (16),0.7450 (16),0.5497 (15),0.6328 (14),0.5861 (11),0.0000 (17),
1063852,naivelogic,0.5770 (15),0.8416 (13),0.6392 (13),0.8469 (13),0.7816 (13),0.7699 (13),0.5858 (14),0.6222 (15),0.3705 (15),0.0000 (17),
855894,liqi123,0.5629 (16),0.8218 (15),0.5963 (15),0.8225 (16),0.7745 (14),0.7502 (15),0.5476 (16),0.6090 (16),0.2855 (16),0.1176 (14),
898373,sourth_wind,0.3708 (17),0.7059 (17),0.4497 (17),0.6104 (17),0.6095 (17),0.6456 (17),0.4307 (17),0.2201 (17),0.0000 (17),0.0002 (15),
898597,nanfeng,0.2231 (18),0.5566 (18),0.2785 (18),0.4448 (18),0.3783 (18),0.5086 (18),0.1743 (18),0.0000 (18),0.0000 (17),0.0001 (16),
