submission_pk,User,"CTR (q0.500), %","CTR (q0.025), %","CTR (q0.975), %",Time (seconds)
522121,ykaneko1992,2.249 (1),2.174 (1),2.326 (1),97.4 (15),
522077,yasui,2.249 (1),2.174 (1),2.326 (1),276.3 (20),
521656,GPuleri,2.249 (2),2.174 (2),2.326 (2),654.8 (25),
521580,Nebraw,2.191 (3),2.118 (3),2.267 (3),13965.3 (35),
521578,AdremDataLab,1.975 (4),1.905 (4),2.047 (4),366.3 (23),
522081,bakanaouji,1.972 (5),1.902 (5),2.044 (5),95.6 (14),
522092,woawry-haures,1.885 (6),1.817 (6),1.955 (6),758.9 (27),
521633,HanShotFirst,1.874 (7),1.806 (7),1.944 (7),646.6 (24),
521760,ADReM_Tim,1.846 (8),1.778 (8),1.915 (8),352.9 (22),
521643,AlpT96,1.803 (9),1.736 (9),1.872 (9),225.3 (18),
522100,qttruong,1.665 (10),1.600 (10),1.731 (10),3084.0 (34),
521371,alalio,1.613 (11),1.550 (11),1.679 (11),2620.6 (33),
521623,Smlep,1.572 (12),1.509 (12),1.636 (12),1601.4 (31),
521173,blanc_o,1.545 (13),1.483 (13),1.609 (13),58.0 (6),
516383,neatest_neighbours,1.517 (14),1.456 (14),1.580 (14),160.5 (16),
521595,MMB,1.514 (15),1.453 (15),1.577 (15),65.3 (12),
521582,AlaeEddineElHmimdi,1.466 (16),1.406 (16),1.528 (16),1236.2 (30),
521583,LeClanDesSemiCroustillants,1.447 (17),1.387 (17),1.509 (17),1096.7 (29),
502873,MartinB,1.434 (18),1.374 (18),1.495 (18),55.2 (2),
521630,On100Fou,1.415 (19),1.356 (19),1.476 (19),176.0 (17),
507336,KarachunMichael,1.412 (20),1.353 (20),1.473 (20),56.3 (4),
516449,ari,1.408 (21),1.349 (21),1.469 (21),58.9 (7),
521635,bishop,1.401 (22),1.342 (22),1.462 (22),63.8 (10),
521622,ihtiihti,1.400 (23),1.341 (23),1.461 (23),60.2 (9),
521655,numericlee,1.397 (24),1.338 (24),1.457 (24),64.2 (11),
507577,brunoseznec,1.395 (25),1.336 (25),1.456 (25),59.0 (8),
520746,goulagman,1.391 (26),1.332 (26),1.451 (26),300.6 (21),
521576,Oui,1.384 (27),1.325 (27),1.444 (27),65.9 (13),
507821,HeMingKai,1.380 (28),1.322 (28),1.441 (28),56.9 (5),
508631,DeusExMachina,1.379 (29),1.320 (29),1.439 (29),55.7 (3),
521147,FabiCim,1.327 (30),1.270 (30),1.386 (30),808.1 (28),
521313,bx,1.308 (31),1.251 (31),1.367 (31),266.0 (19),
521939,Vincoux,1.131 (32),1.079 (32),1.186 (32),756.1 (26),
521187,epita-rema,1.050 (33),1.000 (33),1.103 (33),2450.6 (32),
523750,Stolt,-1.000 (34),-1.000 (34),-1.000 (34),NaN (1),
521624,Lywel,-1.000 (34),-1.000 (34),-1.000 (34),NaN (1),
