submission_pk,User,Loss,AngLoss,TempLoss,Runtime per image [s],CPU [1]/ GPU [0],Extra Data [1] / No Extra Data [0]
654066,Georgechogovadze,0.1875 (8),- (-),0.0389 (8),0.0260 (6),0.0 (2),0.0 (1),
654054,Airia_CG,0.0514 (1),- (-),0.0125 (1),0.3500 (3),0.0 (2),0.0 (1),
653787,ms_ipcv,0.2972 (9),- (-),0.0653 (9),1.0000 (1),0.0 (2),0.0 (1),
649063,sabarinathan,0.0974 (5),- (-),0.0377 (7),0.4300 (2),1.0 (1),0.0 (1),
648263,walden,0.1556 (7),- (-),0.0361 (6),0.0670 (4),0.0 (2),0.0 (1),
643554,mafifi,0.0760 (2),- (-),0.0247 (4),0.0000 (8),0.0 (2),0.0 (1),
641200,debut_kele,0.1125 (6),- (-),0.0292 (5),0.0100 (7),1.0 (1),0.0 (1),
637156,tomanut,0.0819 (3),- (-),0.0167 (2),0.0280 (5),0.0 (2),0.0 (1),
617427,zrfan,0.5375 (10),- (-),0.3153 (10),0.0000 (8),1.0 (1),0.0 (1),
641411,dddd,0.0903 (4),- (-),0.0208 (3),-1.0000 (9),-1.0 (3),-1.0 (2),
