submission_pk,User,PSNR,SSIM,Runtime per image [s],Parameters,Extra Data [1] / No Extra Data [0]
489215,wangliwen,29.20 (1),0.8246 (1),1.581 (12),2372539.0 (12),1.0 (1),
491060,WangChaofeng,29.11 (2),0.8219 (2),0.162 (7),1387258.0 (9),0.0 (2),
493692,zheng222,29.10 (3),0.8216 (3),0.100 (5),893936.0 (2),1.0 (1),
494045,BearMaxZJU,29.02 (4),0.8202 (4),0.080 (3),1227340.0 (7),0.0 (2),
483088,MSRResNet-baseline,29.00 (5),0.8199 (5),0.170 (8),1517571.0 (10),1.0 (1),
491309,XXH,28.98 (6),0.8189 (6),0.150 (6),1357627.0 (8),1.0 (1),
494451,neptuneai,28.96 (7),0.8184 (7),0.010 (1),1591963.0 (11),0.0 (2),
493066,q935970314,28.89 (8),0.8166 (8),0.090 (4),1127064.0 (4),0.0 (2),
493505,suen,28.88 (9),0.8165 (9),0.362 (10),1136506.0 (5),0.0 (2),
494609,ghgh3269,28.59 (10),0.8103 (10),0.600 (11),1222171.0 (6),0.0 (2),
493943,TerVis,28.36 (11),0.8023 (11),0.040 (2),980496.0 (3),1.0 (1),
493530,heroyi,26.47 (12),0.7489 (12),0.342 (9),300896.0 (1),0.0 (2),
