submission_pk,User,mIoU
856669,baoqianyue,0.115289 (1),
846000,Younghwan,0.109217 (2),
846080,LukeKS,0.106833 (3),
858491,Aryal007,0.100936 (4),
856360,petillmann,0.099864 (5),
847606,Yiqing,0.095985 (6),
858138,ulosc,0.093277 (7),
858005,LBeumer,0.081821 (8),
855353,fdasgdsag,0.081488 (9),
855120,sk2018,0.076514 (10),
853325,tqll,0.075755 (11),
842362,cyx669521,0.070722 (12),
844819,calebrob6,0.069363 (13),
845471,xmj,0.066438 (14),
842354,malkin,0.065995 (15),
841771,Just4Fun,0.064064 (16),
857418,afternoon,0.063484 (17),
858213,aryan2305,0.056597 (18),
844529,justchenhao,0.056510 (19),
856344,fitzpc,0.049759 (20),
834685,rock4you,0.048301 (21),
855090,seven_,0.047975 (22),
857463,weiquanh,0.039479 (23),
839109,wuyongfa,0.005027 (24),
848156,tehret,0.000853 (25),
847287,aymars,0.000046 (26),
