submission_pk,User,Average,BB,SIBS,SS,FD,FS,MD,MS,GFGD,GFGS,GMGD,GMGS
518739,Ferryman,0.50 (1),0.50 (1),0.50 (1),0.50 (1),0.51 (1),0.50 (1),0.51 (1),0.50 (1),0.52 (1),0.50 (1),0.50 (1),0.51 (1),
518719,codezakh,0.50 (1),0.50 (1),0.50 (1),0.50 (1),0.51 (1),0.50 (1),0.51 (1),0.50 (1),0.52 (1),0.50 (1),0.50 (1),0.51 (1),
518836,yuhang,0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),0.00 (2),
