submission_pk,User,Score (C/D),ExecutionTime
833033,DFGC_SYSU,0.9823 (1),29.00 (2),
831728,yzx835,0.9759 (2),40.00 (4),
837440,linshaowen,0.9484 (3),47.00 (5),
836938,yangquanwei,0.9036 (4),88.00 (9),
834537,Iverson,0.8988 (5),48.00 (6),
836426,pwb,0.8947 (6),34.00 (3),
831872,jiashangplus,0.8853 (7),34.00 (3),
833557,Format,0.8529 (8),22.00 (1),
836321,borutb,0.8467 (9),34.00 (3),
835120,oliver_ck,0.8024 (10),63.00 (7),
836987,Shichuang_Xie,0.7812 (11),34.00 (3),
836968,Lucky_mouse,0.7812 (11),34.00 (3),
833385,obsidian,0.7812 (11),34.00 (3),
830003,organizer_baseline,0.7812 (11),34.00 (3),
833760,lanceren,0.5124 (12),64.00 (8),
