submission_pk,User,MOTA,IDF1
984895,richytang,0.96 (1),0.9757 (1),
984245,pmzhjj,0.96 (2),0.9112 (3),
1034980,fujitsu_GP_vision,0.95 (3),0.8430 (4),
984240,wusize,0.93 (4),0.9555 (2),
1113133,Pr3vision,0.90 (5),0.8290 (5),
982847,azheng,0.82 (6),0.6865 (6),
970183,wangcy,0.78 (7),0.5094 (7),
984807,hhsu,0.74 (8),0.3364 (8),
