submission_pk,User,err
960407,robvanderg,0.0001 (1),
960375,benjamin-mlr,0.0001 (1),
964162,John_m_,0.1717 (2),
965191,DiveshRK,0.4095 (3),
964689,bucuram,0.4287 (4),
961996,davda54,0.4287 (4),
965470,team,0.4468 (5),
