submission_pk,User,Average AP
465907,R4D,0.4795 (1),
467047,phunghx,0.4076 (2),
467200,DragonBao,0.4043 (3),
467488,lsobls,0.4017 (4),
459636,wider,0.2768 (5),
466742,tx1994108,0.1333 (6),
