submission_pk,User,AverageF1,AverageR,Accuracy
385077,SamB,0.61000 (1),0.58300 (1),0.58100 (1),
384965,mhjabreel,0.57100 (2),0.55000 (2),0.56300 (2),
385085,amalhtait,0.46900 (3),0.43800 (5),0.44500 (6),
384709,lhurtado,0.46700 (4),0.47800 (3),0.50800 (3),
384995,sabino,0.45500 (5),0.47700 (4),0.49900 (4),
384999,ramybaly,0.42200 (6),0.43800 (5),0.43000 (8),
384832,Halamulki,0.41600 (7),0.43100 (6),0.45400 (5),
385304,abeed,0.32000 (8),0.41500 (7),0.44300 (7),
384285,seirasto,0.19900 (9),0.33300 (8),0.24800 (9),
