submission_pk,User,F1,Precision,Recall
998142,nithishkannen,0.98 (1),0.98 (1),0.98 (1),
1008678,uyaseen,0.74 (2),0.74 (2),0.74 (2),
972595,amirveyseh,0.10 (3),0.22 (3),0.06 (3),
