submission_pk,User,F1,Precision,Recall
1019743,shihanmax,0.91 (1),0.90 (1),0.92 (1),
1020710,LiSiheng,0.90 (2),0.88 (3),0.91 (3),
1020757,nithishkannen,0.89 (3),0.87 (4),0.91 (2),
1020684,WENGSYX,0.88 (4),0.87 (5),0.90 (4),
1019313,fazlfrs,0.87 (5),0.84 (6),0.89 (5),
1018930,uyaseen,0.80 (6),0.78 (7),0.81 (6),
1019778,dipteshkanojia,0.72 (7),0.75 (8),0.69 (7),
1019701,guneetsk99,0.57 (8),0.90 (2),0.42 (8),
1012231,amirveyseh,0.15 (9),0.29 (9),0.10 (9),
