submission_pk,User,QAC,PAC
485177,RichardRui,81.95218 (1),31.00000 (1),
485170,sixEstates,80.28169 (2),25.00000 (2),
481982,ewrfcas,80.05241 (3),20.33333 (4),
485273,Decalogue,77.82509 (4),23.00000 (3),
484426,huifei,75.23747 (5),15.00000 (5),
484615,X-X,73.66525 (6),14.33333 (6),
484579,ndsc01,72.42057 (7),11.33333 (11),
485272,berton,71.96200 (8),11.66667 (10),
481317,luckyboys,71.63446 (9),11.66667 (10),
485203,nkuzhangyi,70.88110 (10),10.33333 (13),
481951,canghaifengyin,70.81559 (11),11.33333 (11),
484153,wyxlzsq,70.78284 (12),7.66667 (19),
481353,maimao,70.58631 (13),11.00000 (12),
481305,CMRC_2019,70.58631 (13),13.33333 (7),
481344,suxingyu,70.42254 (14),11.00000 (12),
485250,nju_hzx,70.16050 (15),10.00000 (14),
481347,sibowen,70.06223 (16),12.66667 (8),
481740,HelloNil,69.11235 (17),12.33333 (9),
483524,renxingkai,69.01408 (18),7.00000 (20),
483298,wangsuqi,69.01408 (18),8.33333 (18),
485266,bling,68.85031 (19),9.66667 (15),
481558,Leonard,68.12971 (20),9.33333 (16),
485127,RingoNest,66.85228 (21),8.66667 (17),
485295,Vocload,61.38225 (22),4.33333 (21),
481310,HKP,11.39862 (23),9.33333 (16),
485132,xyion,10.61251 (24),0.33333 (22),
481773,AlexYung757,7.43531 (25),0.00000 (23),
485202,waka,0.00000 (26),0.00000 (23),
483551,Amis_Turing,0.00000 (26),0.00000 (23),
482404,niji123,0.00000 (26),0.00000 (23),
