submission_pk,User,MSE
1090091,seeyou,234.0834 (1),
1089976,ybzUI,243.1471 (2),
1089918,hilipati,263.6567 (3),
1090236,zrliu,317.7873 (4),
1089406,smyoder,354.5968 (5),
1004377,liliangong,377.1028 (6),
1074722,llc12139,389.6963 (7),
992890,yshi26,499.6745 (8),
