submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
939259,HW-TSC,2.00 (1),0.3536 (1),0.4973 (1),0.8062 (1),2243954093.0 (3),560944640.0 (4),
940422,IST-Unbabel,3.00 (2),0.3096 (2),0.4671 (2),0.7916 (2),2294887576.0 (4),569368609.0 (5),
968904,sding,3.80 (4),0.3002 (3),0.4560 (3),0.7219 (5),6863178235.0 (5),484431872.0 (3),
940576,fblain,3.20 (3),0.2474 (4),0.4256 (4),0.7232 (4),1142441796.0 (2),281297685.0 (2),
934895,Abulice,3.00 (2),0.0326 (5),0.2539 (5),0.7701 (3),100000.0 (1),9501148.0 (1),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
939259,HW-TSC,2.60 (1),0.1719 (1),0.1597 (1),0.9339 (4),2243954093.0 (3),560944640.0 (4),
968904,sding,2.60 (1),0.0776 (2),0.0919 (2),0.9819 (1),6863178235.0 (5),484431872.0 (3),
940422,IST-Unbabel,3.60 (4),0.0680 (3),0.0831 (4),0.9816 (2),2294887576.0 (4),569368609.0 (5),
940576,fblain,2.80 (2),0.0653 (4),0.0919 (3),0.9688 (3),1142441796.0 (2),281297685.0 (2),
934895,Abulice,3.40 (3),0.0000 (5),0.0000 (5),0.0000 (5),0.0 (1),0.0 (1),
submission_pk,User,< Rank >,MCC,F1 BAD,F1 OK,Disk Footprint (Bytes),Model Params
939259,HW-TSC,2.20 (1),0.3098 (1),0.4433 (1),0.8129 (1),2243954093.0 (4),560944640.0 (4),
940422,IST-Unbabel,3.20 (3),0.2863 (2),0.4266 (2),0.8034 (2),2294887576.0 (5),569368609.0 (5),
940576,fblain,3.20 (3),0.2405 (3),0.3936 (3),0.7505 (4),1142441796.0 (3),281297685.0 (3),
934895,Abulice,3.00 (2),0.0107 (4),0.2219 (4),0.7687 (3),100000.0 (2),9501148.0 (2),
968904,sding,3.40 (4),0.0000 (5),0.0000 (5),0.0000 (5),0.0 (1),0.0 (1),
