submission_pk,User,ERR(%),Execution time(ms)
904263,JiajiaJiang,3.33 (1),2101.0 (3),
1147886,statictemp,3.58 (2),1926.0 (7),
970410,BiDA-TA-RNN,4.08 (3),2330.0 (1),
904265,Amaranthe,6.44 (4),1942.0 (5),
904258,jgalbally,7.50 (5),1991.0 (4),
904262,mwehbi,9.83 (6),1937.0 (6),
920032,BenceKovari,11.75 (7),2130.0 (2),
904403,JAIRG,999.99 (8),0.0 (8),
submission_pk,User,ERR(%),Execution time(ms)
1147886,statictemp,6.25 (1),1983.0 (8),
904263,JiajiaJiang,7.41 (2),2264.0 (1),
970410,BiDA-TA-RNN,8.65 (3),2243.0 (2),
904258,jgalbally,10.12 (4),2034.0 (6),
920032,BenceKovari,13.29 (5),2195.0 (3),
904265,Amaranthe,13.39 (6),2083.0 (5),
904262,mwehbi,17.23 (7),2010.0 (7),
904403,JAIRG,18.43 (8),2120.0 (4),
submission_pk,User,ERR(%),Execution time(ms)
904263,JiajiaJiang,6.04 (1),2157.0 (5),
970410,BiDA-TA-RNN,7.63 (2),2306.0 (3),
904258,jgalbally,9.96 (3),2054.0 (6),
904265,Amaranthe,11.42 (4),2283.0 (4),
904262,mwehbi,14.21 (5),2476.0 (1),
920032,BenceKovari,14.47 (6),2322.0 (2),
1147886,statictemp,999.99 (7),0.0 (7),
904403,JAIRG,999.99 (7),0.0 (7),
