submission_pk,User,AP
595399,lzhbrian,0.589984 (1),
595426,alexander.krapivin,0.582274 (2),
595956,ShenhanQian,0.577601 (3),
595778,tfzhou.ai,0.510208 (4),
543673,geyuying,0.509182 (5),
594187,simaoherdade,0.508752 (6),
595490,TROY.MAO,0.440109 (7),
591569,DeepBlueAI,0.335298 (8),
592208,komakiZhao,0.292466 (9),
589959,litepose,0.278658 (10),
586106,FDB_Lab,0.160514 (11),
580213,MengRongye,0.158857 (12),
576859,yly-Alan,0.044011 (13),
590392,cnnposeall,0.000002 (14),
