submission_pk,User,Score (C/D),ExecutionTime
843600,joshhu,2.5790 (1),205.00 (2),
842224,seanseattle,2.5497 (2),220.00 (7),
842630,zhaobh,2.5188 (3),219.00 (6),
841209,jerryHUST,2.4254 (4),206.00 (3),
842534,combaz,2.3910 (5),206.00 (3),
842608,DFGC_SYSU,2.3874 (6),207.00 (4),
841848,nodo,2.3812 (7),216.00 (5),
839009,yZzzzzz,2.1104 (8),195.00 (1),
839053,organizer_baseline,1.7487 (9),206.00 (3),
842648,hlb01,1.4496 (10),207.00 (4),
