submission_pk,User,Graph Identity,Duration,PyLint Score
726961,VitaLeeY,1.0000 (1),1.3121 (20),0.87 (5),
724961,danilov-as,0.9139 (2),0.8296 (18),0.99 (1),
727297,shevaruten,0.7683 (3),1.5270 (21),0.94 (3),
727274,skvkatie,0.7683 (3),1.0382 (19),0.94 (3),
726505,B-tum,0.6832 (4),96.1250 (52),0.66 (9),
727228,vadim2011,0.5795 (5),3.6742 (27),0.58 (13),
727170,ValentinaFedorova,0.5793 (6),86.7798 (51),0.50 (15),
724848,Sur_Daniil,0.4998 (7),2.9976 (24),0.97 (2),
725515,Igor_KA,0.4991 (8),10.7547 (38),0.80 (7),
726455,OoMini,0.4907 (9),17.2819 (42),0.63 (11),
727136,baveo0811,0.4879 (10),0.7959 (17),0.05 (25),
725586,KIB,0.4879 (10),3.1826 (26),0.51 (14),
726587,anatoliy26,0.4691 (11),14.2169 (41),0.15 (23),
726902,iov-rv-bb,0.4588 (12),96.4070 (53),0.36 (18),
726694,Golubeva,0.4438 (13),1.8758 (22),0.58 (13),
727048,DAMaxim,0.4292 (14),6.5721 (33),0.25 (22),
727045,Margo-mvf,0.4292 (14),6.5437 (32),0.25 (22),
723976,Usachev_Dmitry,0.4250 (15),3.9644 (28),0.38 (17),
722880,aikimind,0.4123 (16),53.9819 (49),0.88 (4),
725507,Knishenko_Anastasia,0.3989 (17),4.2491 (29),0.99 (1),
724105,Sudarev_Vladimir,0.3880 (18),19.8977 (48),0.28 (20),
727198,Natalex,0.3771 (19),13.6833 (40),0.27 (21),
725644,Natalia_Yur,0.3771 (19),18.1983 (43),0.31 (19),
725643,TatyanaE,0.3771 (19),19.7369 (47),0.31 (19),
725638,Evgenia,0.3771 (19),19.0775 (45),0.31 (19),
725511,DDaria,0.3771 (19),12.0977 (39),0.27 (21),
725490,Shadiyan_Makar,0.3663 (20),2.9449 (23),0.99 (1),
726879,latticetower,0.3604 (21),106.3503 (54),0.50 (15),
725486,Popova_L,0.3484 (22),4.5222 (31),0.82 (6),
725678,vehnep,0.3323 (23),3.1039 (25),0.50 (15),
721702,John_Doe,0.3323 (23),4.4947 (30),0.50 (15),
724451,Anna-P,0.2946 (24),18.5190 (44),0.65 (10),
721650,Alexander_Balandin,0.2946 (24),19.3620 (46),0.65 (10),
727076,geraskova_antonina,0.2794 (25),66.5785 (50),0.71 (8),
725666,Amitater,0.2500 (26),9.5813 (35),0.48 (16),
725470,gavrikov.i,0.2500 (26),9.6200 (36),0.48 (16),
725466,Dmitrii_Khodaev,0.2500 (26),10.0114 (37),0.48 (16),
725453,NikitaU,0.2500 (26),9.4951 (34),0.48 (16),
727282,ArtamonovRS,0.0000 (27),0.0000 (10),0.11 (24),
727256,Sophia_Ion,0.0000 (27),0.0000 (1),0.11 (24),
727243,Galina0805,0.0000 (27),0.0000 (9),0.11 (24),
727149,UBA_UB_IVAN,0.0000 (27),0.0000 (15),0.11 (24),
726976,Stepanova-AI,0.0000 (27),0.0000 (3),0.11 (24),
726955,Alexey_,0.0000 (27),0.0000 (8),0.11 (24),
726549,Evengy,0.0000 (27),0.0000 (1),0.11 (24),
725965,alexpetrov,0.0000 (27),0.0000 (11),0.11 (24),
