submission_pk,User,Inference (MAE),Inference (MAE),Inference (MAE),Model Classification (F1),Model Classification (F1),Model Classification (F1),Segmentation (<rank>),Segmentation (<rank>),Segmentation (<rank>)
,1D,2D,3D,1D,2D,3D,1D,2D,3D
578835,cmanzo,100.000 (7),0.000 (5),3.00 (3),,,,,,,,,,
682826,hverdier,0.574 (4),0.000 (5),3.00 (3),,,,,,,,,,
683241,stefabo,100.000 (7),0.000 (5),3.00 (3),,,,,,,,,,
646833,alsoca2,100.000 (7),0.000 (5),3.00 (3),,,,,,,,,,
671004,hkabbech,0.319 (1),0.000 (5),3.00 (3),,,,,,,,,,
682670,Erezagh,100.000 (7),0.000 (5),3.00 (3),,,,,,,,,,
667203,hkabbech,0.493 (2),0.000 (5),3.00 (3),,,,,,,,,,
571182,gorka.munoz,0.549 (3),0.000 (5),3.00 (3),,,,,,,,,,
657867,huangzh10,0.661 (5),0.198 (3),1.33 (1),,,,,,,,,,
683652,LochOlszewska,1.022 (6),0.198 (4),1.67 (2),,,,,,,,,,
660630,OscarGaribo,100.000 (7),0.809 (2),3.00 (3),,,,,,,,,,
614487,OscarGaribo,100.000 (7),0.000 (5),3.00 (3),,,,,,,,,,
678308,giovolpe,100.000 (7),0.891 (1),3.00 (3),,,,,,,,,,
submission_pk,User,Inference (MAE),Inference (MAE),Inference (MAE),Model Classification (F1),Model Classification (F1),Model Classification (F1),Changepoint loc. prec. (RMSE),Changepoint loc. prec. (RMSE),Changepoint loc. prec. (RMSE)
,1D,2D,3D,1D,2D,3D,1D,2D,3D
657867,huangzh10,0.643 (1),0.199 (2),81.619 (1),,,,,,,,,,
683652,LochOlszewska,0.914 (2),0.199 (1),114.584 (2),,,,,,,,,,
660630,OscarGaribo,100.000 (3),0.000 (3),200.000 (3),,,,,,,,,,
614487,OscarGaribo,100.000 (3),0.000 (3),200.000 (3),,,,,,,,,,
683241,stefabo,100.000 (3),0.000 (3),200.000 (3),,,,,,,,,,
682826,hverdier,100.000 (3),0.000 (3),200.000 (3),,,,,,,,,,
682670,Erezagh,100.000 (3),0.000 (3),200.000 (3),,,,,,,,,,
678308,giovolpe,100.000 (3),0.000 (3),200.000 (3),,,,,,,,,,
671004,hkabbech,100.000 (3),0.000 (3),200.000 (3),,,,,,,,,,
667203,hkabbech,100.000 (3),0.000 (3),200.000 (3),,,,,,,,,,
646833,alsoca2,100.000 (3),0.000 (3),200.000 (3),,,,,,,,,,
578835,cmanzo,100.000 (3),0.000 (3),200.000 (3),,,,,,,,,,
571182,gorka.munoz,100.000 (3),0.000 (3),200.000 (3),,,,,,,,,,
