submission_pk,User,Average,BB,SIBS,SS,FD,FS,MD,MS,GFGD,GFGS,GMGD,GMGS
965289,zxm123,0.80 (1),0.82 (1),0.80 (1),0.84 (1),0.75 (4),0.82 (1),0.80 (1),0.77 (2),0.76 (3),0.71 (4),0.75 (2),0.59 (10),
538508,vuvko,0.78 (2),0.80 (2),0.77 (2),0.80 (2),0.75 (7),0.81 (5),0.78 (2),0.74 (7),0.78 (2),0.69 (6),0.76 (1),0.60 (9),
970082,nc2893,0.77 (3),0.79 (3),0.75 (4),0.79 (3),0.76 (2),0.78 (12),0.75 (7),0.74 (9),0.70 (15),0.67 (9),0.70 (8),0.59 (10),
966395,jh3450,0.77 (3),0.79 (3),0.75 (4),0.79 (3),0.76 (2),0.78 (12),0.75 (7),0.74 (9),0.70 (15),0.67 (9),0.70 (8),0.59 (10),
969430,paw2140,0.77 (4),0.78 (4),0.75 (5),0.79 (4),0.75 (6),0.78 (12),0.76 (4),0.74 (8),0.68 (18),0.69 (7),0.72 (5),0.59 (10),
537979,DeepBlueAI,0.76 (5),0.77 (5),0.75 (6),0.77 (5),0.74 (8),0.81 (6),0.75 (6),0.74 (10),0.72 (7),0.73 (3),0.67 (11),0.68 (1),
967609,ustc-nelslip,0.76 (6),0.75 (6),0.72 (9),0.74 (8),0.76 (3),0.82 (2),0.75 (8),0.75 (4),0.79 (1),0.69 (7),0.76 (1),0.67 (2),
537255,haoxl,0.76 (7),0.75 (8),0.71 (11),0.74 (11),0.76 (3),0.81 (4),0.75 (8),0.75 (4),0.73 (6),0.65 (12),0.63 (16),0.64 (5),
537457,lemoner20,0.75 (8),0.75 (7),0.72 (8),0.74 (7),0.75 (5),0.81 (7),0.74 (9),0.75 (5),0.72 (8),0.67 (9),0.62 (18),0.65 (3),
537406,Early,0.74 (9),0.75 (9),0.73 (7),0.74 (9),0.73 (9),0.79 (10),0.72 (12),0.74 (6),0.66 (21),0.69 (8),0.52 (22),0.65 (4),
969208,bf2477,0.74 (10),0.73 (10),0.71 (13),0.75 (6),0.73 (10),0.80 (9),0.73 (10),0.72 (11),0.71 (12),0.69 (6),0.66 (12),0.65 (4),
537972,stefhoer,0.74 (11),0.66 (19),0.76 (3),0.65 (19),0.77 (1),0.80 (8),0.77 (3),0.78 (1),0.70 (13),0.73 (2),0.64 (15),0.60 (8),
537526,bestone,0.73 (12),0.69 (17),0.62 (18),0.67 (18),0.75 (5),0.81 (3),0.75 (5),0.75 (3),0.73 (5),0.69 (6),0.65 (14),0.62 (7),
968707,MAILW,0.73 (13),0.73 (11),0.71 (11),0.74 (10),0.71 (12),0.78 (13),0.72 (14),0.71 (13),0.67 (19),0.66 (10),0.58 (19),0.63 (6),
538413,danbo3004,0.73 (14),0.71 (14),0.71 (12),0.72 (16),0.72 (11),0.78 (11),0.72 (14),0.72 (12),0.71 (10),0.70 (5),0.53 (21),0.56 (13),
537557,ten_elven,0.72 (15),0.72 (12),0.71 (10),0.73 (13),0.70 (13),0.77 (14),0.70 (15),0.71 (14),0.70 (14),0.75 (1),0.63 (16),0.67 (2),
969444,romanwang,0.71 (16),0.71 (13),0.69 (15),0.73 (12),0.67 (17),0.74 (15),0.69 (16),0.69 (16),0.73 (4),0.64 (14),0.68 (10),0.60 (9),
538372,AnkitXDhankhar,0.70 (17),0.69 (16),0.70 (14),0.72 (14),0.67 (16),0.71 (17),0.73 (11),0.69 (17),0.62 (23),0.56 (19),0.65 (13),0.51 (19),
536530,Singularity213,0.66 (18),0.67 (18),0.68 (16),0.67 (17),0.64 (19),0.69 (18),0.63 (20),0.63 (21),0.69 (17),0.61 (17),0.62 (17),0.58 (12),
536721,The.Game,0.66 (19),0.70 (15),0.67 (17),0.72 (15),0.60 (22),0.65 (22),0.67 (17),0.57 (24),0.66 (20),0.56 (20),0.68 (9),0.53 (17),
535809,Ferryman,0.65 (20),0.57 (20),0.59 (20),0.52 (26),0.68 (14),0.72 (16),0.72 (13),0.71 (15),0.69 (16),0.65 (11),0.71 (7),0.55 (14),
537592,handan,0.63 (21),0.57 (21),0.60 (19),0.54 (22),0.67 (15),0.67 (20),0.66 (18),0.67 (18),0.65 (22),0.62 (16),0.74 (3),0.53 (18),
537051,HULUWAWA,0.61 (22),0.55 (24),0.52 (25),0.53 (24),0.65 (18),0.67 (19),0.64 (19),0.66 (19),0.72 (9),0.64 (13),0.72 (6),0.54 (16),
537211,wangbo,0.61 (23),0.55 (23),0.55 (23),0.53 (23),0.63 (20),0.67 (21),0.61 (21),0.65 (20),0.71 (11),0.63 (15),0.73 (4),0.58 (11),
537216,andrijdavid,0.59 (24),0.54 (25),0.55 (24),0.55 (20),0.61 (21),0.65 (22),0.58 (22),0.63 (22),0.58 (24),0.58 (18),0.54 (20),0.43 (23),
537508,al3x,0.56 (25),0.56 (22),0.56 (22),0.55 (21),0.56 (23),0.59 (23),0.56 (23),0.58 (23),0.47 (27),0.45 (23),0.37 (25),0.48 (22),
966282,fuad,0.52 (26),0.48 (28),0.57 (21),0.52 (25),0.52 (24),0.52 (24),0.54 (24),0.55 (25),0.34 (28),0.45 (23),0.33 (26),0.49 (21),
535438,windyear,0.50 (27),0.51 (26),0.50 (26),0.51 (27),0.51 (25),0.49 (26),0.50 (26),0.49 (27),0.52 (25),0.49 (22),0.46 (24),0.50 (20),
535433,codezakh,0.50 (28),0.50 (27),0.49 (27),0.49 (28),0.50 (26),0.50 (25),0.50 (25),0.50 (26),0.49 (26),0.53 (21),0.49 (23),0.55 (15),
