submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
446855,ghgh3269,0.00 (1),0.00 (1),1.08 (10),0.00 (2),1.00 (1),
446568,jingliting,0.00 (1),0.00 (1),0.72 (11),0.00 (2),0.00 (2),
446588,JSChoi,0.00 (1),0.00 (1),1.60 (8),0.00 (2),0.00 (2),
446604,Hot_Milk,0.00 (1),0.00 (1),2.10 (6),0.00 (2),0.00 (2),
446621,cskzh,0.00 (1),0.00 (1),0.20 (12),0.00 (2),0.00 (2),
446741,cr2018,0.00 (1),0.00 (1),2.77 (5),0.00 (2),0.00 (2),
446708,boe_sbg,0.00 (1),0.00 (1),1.11 (9),0.00 (2),0.00 (2),
446685,jhyume,0.00 (1),0.00 (1),7.59 (3),0.00 (2),0.00 (2),
446821,xixihaha,0.00 (1),0.00 (1),13.07 (2),0.00 (2),0.00 (2),
446756,lpj008,0.00 (1),0.00 (1),0.20 (12),0.00 (2),0.00 (2),
446627,mikigom,0.00 (1),0.00 (1),396.00 (1),1.00 (1),0.00 (2),
446168,yyuan13,0.00 (1),0.00 (1),0.08 (13),0.00 (2),0.00 (2),
446871,enoch,0.00 (1),0.00 (1),1.85 (7),0.00 (2),0.00 (2),
446372,yifita,0.00 (1),0.00 (1),2.89 (4),1.00 (1),-1.00 (3),
