submission_pk,User,score,operational cost,attention cost,Computation time
996279,xd_silly,54.94 (1),52.37 (2),60.94 (2),993.37 (14),
996412,IndigoSix,49.54 (2),54.06 (1),39.00 (3),1304.53 (16),
996048,lujixiang,48.93 (3),39.83 (5),70.17 (1),646.18 (11),
996499,SupremaciaChina,45.78 (4),51.82 (3),31.67 (4),1284.86 (15),
996507,maze-rl,35.25 (5),48.29 (4),4.83 (5),745.09 (13),
993424,realcy,8.76 (6),11.97 (9),1.28 (6),669.78 (12),
996498,shah.tapan.r,2.14 (7),10.65 (11),-17.72 (8),1.44 (4),
969530,qsrmlhj,-2.43 (8),21.12 (7),-57.39 (10),205.83 (8),
961855,yanqing,-5.87 (9),12.06 (8),-47.72 (9),62.90 (7),
996510,WillMaclean,-18.06 (10),-24.04 (14),-4.11 (7),530.95 (10),
922278,adriankelly1,-24.75 (11),23.57 (6),-137.50 (12),1.28 (3),
996361,vakker,-40.89 (12),11.87 (10),-164.00 (13),1424.98 (17),
992918,demondemo,-45.67 (13),9.76 (12),-175.00 (14),322.00 (9),
963898,BDonnot,-60.00 (14),0.00 (13),-200.00 (16),0.49 (2),
952608,cmcm,-60.00 (14),0.00 (13),-200.00 (16),0.49 (1),
992865,xinzhixu,-62.76 (15),-48.49 (15),-96.06 (11),2.96 (5),
996263,Liuxiaoming,-98.22 (16),-62.60 (16),-181.33 (15),14.69 (6),
