submission_pk,User,MAP@5,MAP@1,MAP@3,MAP@10,MAP_All,RR,P@3,P@5,P@10
897608,aschern,0.941 (1),0.932 (1),0.941 (1),0.941 (1),0.943 (1),0.940 (1),0.318 (1),0.191 (2),0.095 (3),
880067,simihaylova,0.936 (2),0.927 (2),0.935 (2),0.937 (2),0.937 (2),0.935 (2),0.315 (2),0.190 (3),0.096 (2),
869972,gs_chm,0.902 (3),0.857 (3),0.900 (3),0.902 (3),0.903 (3),0.901 (3),0.318 (1),0.192 (1),0.096 (1),
879808,Devmapall,0.818 (4),0.776 (4),0.812 (4),0.820 (4),0.822 (4),0.820 (4),0.286 (3),0.177 (4),0.090 (4),
873652,sshaar,0.818 (4),0.776 (4),0.812 (4),0.820 (4),0.822 (4),0.820 (4),0.286 (3),0.177 (4),0.090 (4),
