submission_pk,User,mMOTA,mMOTP,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
632897,DD_Vision,26.62 (3),87.71 (2),5473.00 (5),1121.00 (3),74.00 (4),30.00 (4),92.00 (2),74.00 (3),
621727,bdd100k,21.12 (4),85.18 (4),4775.00 (1),2347.00 (4),46.00 (2),34.00 (3),75.00 (1),87.00 (1),
684746,dais_lab,19.93 (5),86.57 (3),4839.00 (2),2399.00 (5),38.00 (1),45.00 (1),94.00 (3),57.00 (4),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
632778,DeepBlueAI,32.41 (1),87.26 (1),16866.00 (3),1455.00 (1),160.00 (2),80.00 (3),445.00 (5),201.00 (5),
632862,dingwoai,25.74 (2),79.91 (5),17276.00 (5),2796.00 (2),233.00 (4),52.00 (5),416.00 (4),258.00 (2),
621727,bdd100k,22.33 (3),84.06 (4),15912.00 (2),5202.00 (3),124.00 (1),92.00 (2),400.00 (3),234.00 (4),
684746,dais_lab,19.20 (4),85.32 (3),15830.00 (1),6044.00 (4),218.00 (3),95.00 (1),386.00 (1),245.00 (3),
632897,DD_Vision,2.98 (5),86.58 (2),16932.00 (4),9322.00 (5),275.00 (5),71.00 (4),392.00 (2),263.00 (1),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
632897,DD_Vision,0.00 (1),NaN (1),308.00 (1),0.00 (1),0.00 (1),0.00 (1),6.00 (1),0.00 (1),
632862,dingwoai,0.00 (1),NaN (1),308.00 (1),0.00 (1),0.00 (1),0.00 (1),6.00 (1),0.00 (1),
632778,DeepBlueAI,0.00 (1),NaN (1),308.00 (1),0.00 (1),0.00 (1),0.00 (1),6.00 (1),0.00 (1),
621727,bdd100k,0.00 (1),NaN (1),308.00 (1),0.00 (1),0.00 (1),0.00 (1),6.00 (1),0.00 (1),
684746,dais_lab,-1.30 (2),NaN (1),308.00 (1),4.00 (2),0.00 (1),0.00 (1),6.00 (1),0.00 (1),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
632778,DeepBlueAI,25.72 (1),78.94 (1),607.00 (4),59.00 (1),4.00 (3),4.00 (2),28.00 (3),12.00 (4),
632862,dingwoai,21.06 (2),66.86 (5),601.00 (3),111.00 (2),0.00 (1),2.00 (4),28.00 (3),14.00 (3),
632897,DD_Vision,3.66 (3),71.68 (4),536.00 (1),317.00 (4),16.00 (4),3.00 (3),21.00 (1),20.00 (1),
621727,bdd100k,-1.00 (4),73.63 (2),558.00 (2),351.00 (5),2.00 (2),5.00 (1),22.00 (2),17.00 (2),
684746,dais_lab,-6.65 (5),71.92 (3),656.00 (5),302.00 (3),4.00 (3),4.00 (2),28.00 (3),12.00 (4),
submission_pk,User,MOTA,MOTP,Misses,FP,Switch,Mostly Tracked,Mostly Lost,Partially Tracked
632778,DeepBlueAI,17.27 (1),77.30 (1),3116.00 (4),276.00 (2),29.00 (1),19.00 (4),181.00 (4),44.00 (4),
621727,bdd100k,15.02 (2),75.25 (3),2832.00 (3),648.00 (4),34.00 (2),34.00 (1),137.00 (3),73.00 (3),
632897,DD_Vision,14.00 (3),70.13 (5),2773.00 (1),647.00 (3),136.00 (5),21.00 (3),105.00 (1),118.00 (1),
632862,dingwoai,12.53 (4),74.90 (4),3458.00 (5),81.00 (1),78.00 (3),3.00 (5),205.00 (5),36.00 (5),
684746,dais_lab,10.88 (5),75.85 (2),2780.00 (2),818.00 (5),87.00 (4),29.00 (2),118.00 (2),97.00 (2),
