submission_pk,User,Rank Target,Target AUC,Target AP,Target Recall at top-K,Rank Source,Source AUC,Source AP,Source Recall at top-K,Sentence-level Pearson's
967001,mtreviso2,1.000 (1),0.922 (1),0.851 (1),0.762 (1),1.333 (1),0.935 (1),0.854 (1),0.768 (2),0.857 (1),
966932,polak_pe,2.000 (2),0.917 (2),0.842 (2),0.751 (2),3.000 (3),0.928 (3),0.851 (3),0.762 (3),0.801 (4),
966984,Raphael_NICT,3.000 (3),0.897 (3),0.824 (3),0.734 (3),1.667 (2),0.931 (2),0.852 (2),0.770 (1),0.845 (2),
966441,Gringham,5.000 (5),0.837 (4),0.709 (5),0.596 (6),6.000 (6),0.860 (6),0.716 (6),0.587 (6),0.708 (8),
964890,mtreviso,4.333 (4),0.824 (5),0.740 (4),0.630 (4),4.667 (5),0.863 (5),0.757 (4),0.640 (5),0.821 (3),
966123,yukiar,5.667 (6),0.820 (6),0.707 (6),0.604 (5),4.333 (4),0.871 (4),0.756 (5),0.650 (4),0.650 (9),
966975,Tasnim,7.000 (7),0.743 (7),0.631 (7),0.527 (7),7.000 (7),0.758 (7),0.514 (7),0.453 (7),0.772 (7),
963267,melexi,8.667 (9),0.658 (8),0.516 (9),0.404 (9),11.000 (11),-1.000 (11),-1.000 (11),-1.000 (11),0.773 (5),
960025,mfomicheva,8.333 (8),0.624 (9),0.536 (8),0.424 (8),8.000 (8),0.544 (8),0.440 (8),0.309 (8),0.772 (6),
960010,yg211,10.000 (10),0.616 (10),0.441 (10),0.338 (10),9.000 (9),0.535 (9),0.371 (9),0.231 (9),0.494 (10),
959888,plj129,11.000 (11),0.497 (11),0.358 (11),0.247 (11),10.000 (10),0.487 (10),0.339 (10),0.194 (10),-0.029 (11),
