submission_pk,User,score,Computation time
673187,MagicPowerGrids,30.48 (1),13.85 (11),
665182,rl_agnet,18.26 (2),409.58 (25),
665821,hzS,14.68 (3),252.32 (19),
673138,lujixiang,13.85 (4),292.52 (24),
670614,Rekindled_Flame,10.44 (5),4.30 (9),
652282,shhong,9.27 (6),96.25 (13),
666079,xinzhixu,8.04 (7),154.67 (17),
655678,PowerOfEvil,8.04 (7),123.54 (15),
911581,amarot,7.63 (8),1.20 (6),
673206,binbinchen,7.63 (8),1.80 (7),
657503,apigott,7.63 (8),1.05 (5),
652320,Anonymous01,6.09 (9),137.14 (16),
672336,thuml_l2rpn,0.49 (10),0.48 (2),
656275,vermashresth,0.00 (11),0.62 (4),
652174,brunoseznec,0.00 (11),0.59 (3),
647741,JT,-0.00 (12),288.85 (23),
664653,listamania,-13.52 (13),272.64 (22),
661362,restless,-13.52 (13),252.65 (20),
660122,AzureDragon,-13.52 (13),257.81 (21),
656061,bulbasaur303,-13.52 (13),247.59 (18),
673132,PowerRangers,-24.21 (14),121.77 (14),
671088,DragonGlass,-47.10 (15),6.12 (10),
673130,qiu_o,-49.21 (16),40.06 (12),
669555,asantos,-91.37 (17),1.87 (8),
672845,xukeai,-100.00 (18),0.00 (1),
655796,Shikhar,-100.00 (18),0.00 (1),
