submission_pk,User,ExecutionTime,Forward AUC,Reverse AUC,Bidirectional AUC
9311,david.lopez.paz,91.60 (1),0.749743 (1),0.715943 (1),0.732843 (1),
9161,reference,287.77 (2),0.574120 (2),0.584624 (2),0.579372 (2),
