submission_pk,User,PSNR,SSIM,Runtime per image [s],CPU [1] / GPU [0],Extra Data [1] / No Extra Data [0]
579236,Anonymous,52.61 (13),1.00 (5),1.22 (3),0.00 (2),1.00 (1),
579072,Anonymous,52.60 (15),1.00 (11),1.22 (3),0.00 (2),1.00 (1),
578782,Anonymous,52.09 (35),1.00 (29),0.17 (13),0.00 (2),1.00 (1),
578766,Anonymous,52.39 (30),1.00 (22),0.01 (15),0.00 (2),1.00 (1),
578507,Anonymous,51.90 (38),1.00 (33),0.47 (7),0.00 (2),1.00 (1),
576179,Anonymous,52.58 (17),1.00 (12),0.01 (15),0.00 (2),1.00 (1),
562024,Anonymous,52.01 (37),1.00 (31),0.01 (15),0.00 (2),1.00 (1),
555148,Anonymous,52.58 (16),1.00 (14),0.00 (16),0.00 (2),1.00 (1),
579220,Anonymous,52.39 (29),1.00 (25),0.00 (16),0.00 (2),0.00 (2),
579175,Anonymous,52.74 (2),1.00 (4),0.00 (16),0.00 (2),0.00 (2),
579131,Anonymous,52.57 (18),1.00 (17),0.07 (14),0.00 (2),0.00 (2),
579093,Anonymous,52.65 (8),1.00 (6),0.00 (16),0.00 (2),0.00 (2),
579081,Anonymous,52.52 (21),1.00 (18),0.07 (14),0.00 (2),0.00 (2),
579077,Anonymous,52.55 (20),1.00 (23),0.07 (14),0.00 (2),0.00 (2),
579029,Anonymous,52.63 (12),1.00 (10),0.00 (16),0.00 (2),0.00 (2),
579025,Anonymous,52.75 (1),1.00 (1),1.00 (4),0.00 (2),0.00 (2),
578994,Anonymous,52.69 (4),1.00 (3),0.00 (16),0.00 (2),0.00 (2),
578990,Anonymous,51.04 (39),0.99 (37),0.00 (16),0.00 (2),0.00 (2),
578989,Anonymous,52.36 (31),1.00 (21),0.00 (16),1.00 (1),0.00 (2),
578861,Anonymous,50.59 (41),0.99 (36),0.00 (16),0.00 (2),0.00 (2),
578651,Anonymous,52.51 (24),1.00 (15),0.00 (16),0.00 (2),0.00 (2),
578634,Anonymous,52.42 (28),1.00 (20),0.00 (16),0.00 (2),0.00 (2),
578463,Anonymous,52.67 (5),1.00 (8),0.00 (16),0.00 (2),0.00 (2),
578304,Anonymous,52.57 (19),1.00 (14),0.38 (8),1.00 (1),0.00 (2),
577792,Anonymous,52.47 (26),1.00 (26),0.00 (16),0.00 (2),0.00 (2),
577729,Anonymous,52.61 (14),1.00 (13),0.00 (16),0.00 (2),0.00 (2),
577722,Anonymous,52.66 (7),1.00 (9),1.00 (4),0.00 (2),0.00 (2),
577440,Anonymous,52.14 (33),1.00 (28),0.00 (16),0.00 (2),0.00 (2),
577184,Anonymous,52.52 (22),1.00 (17),0.00 (16),0.00 (2),0.00 (2),
575800,Anonymous,52.48 (25),1.00 (19),0.00 (16),0.00 (2),0.00 (2),
574286,Anonymous,52.72 (3),1.00 (6),0.31 (9),0.00 (2),0.00 (2),
567788,Anonymous,52.67 (6),1.00 (12),2.85 (1),0.00 (2),0.00 (2),
567064,Anonymous,52.64 (11),1.00 (7),0.00 (16),0.00 (2),0.00 (2),
564867,Anonymous,49.43 (43),0.99 (38),0.26 (10),0.00 (2),0.00 (2),
559731,Anonymous,52.64 (10),1.00 (5),0.00 (16),0.00 (2),0.00 (2),
559701,Anonymous,48.67 (44),0.99 (39),0.00 (16),0.00 (2),0.00 (2),
559688,Anonymous,52.51 (23),1.00 (16),0.73 (5),0.00 (2),0.00 (2),
555878,Anonymous,52.14 (34),1.00 (32),0.00 (16),0.00 (2),0.00 (2),
551124,Anonymous,52.15 (32),1.00 (30),0.00 (16),0.00 (2),0.00 (2),
548791,Anonymous,44.24 (45),0.98 (40),0.21 (11),0.00 (2),0.00 (2),
540822,Anonymous,41.96 (46),0.97 (41),1.00 (4),1.00 (1),0.00 (2),
537236,Anonymous,50.46 (42),0.99 (35),0.00 (16),0.00 (2),0.00 (2),
536527,Anonymous,52.65 (9),1.00 (2),1.00 (4),0.00 (2),0.00 (2),
536073,Anonymous,50.76 (40),1.00 (34),0.54 (6),1.00 (1),0.00 (2),
533116,Anonymous,52.47 (27),1.00 (24),2.00 (2),0.00 (2),0.00 (2),
532471,Anonymous,41.96 (46),0.97 (41),1.00 (4),1.00 (1),0.00 (2),
560000,Anonymous,52.02 (36),1.00 (27),0.19 (12),-1.00 (3),-1.00 (3),
