submission_pk,User,MAP,AvgRec,MRR
440995,kath,0.717 (1),0.892 (2),78.087 (1),
385354,Mr_Woo,0.714 (2),0.892 (1),77.265 (2),
385079,TitasNandi,0.676 (3),0.862 (3),74.255 (3),
383938,deri,0.651 (4),0.847 (4),70.821 (5),
386719,LS2NSEMEVAL,0.638 (5),0.823 (6),72.107 (4),
383827,VictorZhang,0.633 (6),0.824 (5),70.653 (6),
380377,DorisHoogeveen,0.538 (7),0.728 (7),63.131 (7),
383037,preslav,0.456 (8),0.654 (8),53.503 (8),
