submission_pk,User,MAP,AvgRec,MRR
385012,UPC-USMBA,0.416 (1),0.455 (1),46.293 (1),
383043,preslav,0.311 (2),0.314 (2),35.861 (2),
380386,DorisHoogeveen,0.286 (3),0.280 (3),31.388 (3),
