submission_pk,User,<Rank>,MSE,PSNR,DSSIM
470449,hcilab,3.3333 (1),0.0013 (1),32.6001 (1),0.0439 (8),
460552,arnavkj95,3.6667 (2),0.0014 (2),31.9629 (2),0.0512 (7),
470489,dhkim,4.0000 (3),0.0015 (3),31.0613 (3),0.0516 (6),
470548,anubhap93,4.3333 (4),0.0016 (4),30.5311 (4),0.0610 (5),
469252,mcahny01,4.6667 (5),0.0018 (5),29.9306 (6),0.0751 (3),
469398,ucs,4.6667 (5),0.0021 (6),28.6957 (7),0.0935 (1),
444322,Stephane,5.3333 (6),0.0023 (7),30.0993 (5),0.0621 (4),
470264,yangchris11,6.0000 (7),0.0045 (8),27.0632 (8),0.0876 (2),
