submission_pk,User,f1,recall,prec,acc
1107485,thiffany.pratama,0.929 (1),0.927 (1),0.932 (2),0.970 (1),
996518,ardyh,0.926 (2),0.912 (2),0.941 (1),0.966 (2),
1140893,budi4sure,0.918 (3),0.909 (3),0.928 (3),0.963 (3),
955962,thdaryan,0.758 (4),0.729 (4),0.798 (4),0.900 (4),
