submission_pk,User,< Rank >,Pearson r,RMSE,MAE,Disk Footprint,Model Params
940300,HW-TSC,1.80 (1),0.7530 (1),0.1645 (1),0.1112 (1),2243954093.0 (3),560944640.0 (3),
940571,IST-Unbabel,3.40 (4),0.6551 (2),0.2433 (3),0.1993 (4),2294887576.0 (4),569368609.0 (4),
940567,fblain,2.00 (2),0.5763 (3),0.2414 (2),0.1964 (2),1142441796.0 (1),281297685.0 (2),
940599,shch,2.80 (3),0.5298 (4),0.2618 (4),0.1966 (3),1363652116.0 (2),167357185.0 (1),
