submission_pk,User,AUC,AP@tIoU0.5,AR@2
971733,BJTU_Lenovo_Group,0.99769 (1),0.00000 (1),0.00000 (1),
971688,asdfqwer,0.99722 (2),0.00000 (1),0.00000 (1),
971303,sgai_lab,0.99676 (3),0.00000 (1),0.00000 (1),
971238,Iverson,0.99564 (4),0.00000 (1),0.00000 (1),
970855,Ricardozzf,0.99524 (5),0.00000 (1),0.00000 (1),
971229,silver_cherry,0.99307 (6),0.00000 (1),0.00000 (1),
968479,mccy,0.99089 (7),0.00000 (1),0.00000 (1),
968799,check,0.99075 (8),0.00000 (1),0.00000 (1),
965941,hzm,0.98758 (9),0.00000 (1),0.00000 (1),
971306,BeforeDawn,0.98716 (10),0.00000 (1),0.00000 (1),
970559,yongjieshi2010,0.98678 (11),0.00000 (1),0.00000 (1),
970347,yeap,0.98591 (12),0.00000 (1),0.00000 (1),
971193,ddddddqiu,0.98498 (13),0.00000 (1),0.00000 (1),
970019,burning,0.98407 (14),0.00000 (1),0.00000 (1),
961621,sosos,0.98230 (15),0.00000 (1),0.00000 (1),
969537,obsidian,0.98072 (16),0.00000 (1),0.00000 (1),
971631,DXM-DI-AI-CV-TEAM,0.98043 (17),0.00000 (1),0.00000 (1),
971042,luiszhang,0.97965 (18),0.00000 (1),0.00000 (1),
971502,tianyu2,0.97964 (19),0.00000 (1),0.00000 (1),
967940,jackie578,0.97893 (20),0.00000 (1),0.00000 (1),
963246,BokingChen,0.97824 (21),0.00000 (1),0.00000 (1),
968503,Newbee516,0.97810 (22),0.00000 (1),0.00000 (1),
970606,kingback,0.97593 (23),0.00000 (1),0.00000 (1),
968580,BoomBoom,0.97529 (24),0.00000 (1),0.00000 (1),
963107,GuilinPang,0.97500 (25),0.00000 (1),0.00000 (1),
970816,kezy,0.97487 (26),0.00000 (1),0.00000 (1),
960386,juejue,0.97397 (27),0.00000 (1),0.00000 (1),
966585,vghcmvb,0.97323 (28),0.00000 (1),0.00000 (1),
970375,fernandofg,0.97295 (29),0.00000 (1),0.00000 (1),
964042,SanerZ,0.97289 (30),0.00000 (1),0.00000 (1),
963493,timo,0.97276 (31),0.00000 (1),0.00000 (1),
970372,yangquanwei,0.97188 (32),0.00000 (1),0.00000 (1),
961646,turing_dxm,0.96890 (33),0.00000 (1),0.00000 (1),
970229,MasterMirror,0.96521 (34),0.00000 (1),0.00000 (1),
959274,bloss,0.96440 (35),0.00000 (1),0.00000 (1),
962897,chenhan.,0.96264 (36),0.00000 (1),0.00000 (1),
971130,NoSympathy,0.96052 (37),0.00000 (1),0.00000 (1),
958914,dili_li,0.95079 (38),0.00000 (1),0.00000 (1),
964225,shiguang,0.94270 (39),0.00000 (1),0.00000 (1),
971324,lll111000,0.94207 (40),0.00000 (1),0.00000 (1),
962164,wjq957,0.93475 (41),0.00000 (1),0.00000 (1),
957647,gagaga,0.93123 (42),0.00000 (1),0.00000 (1),
952392,luodahei233,0.91406 (43),0.00000 (1),0.00000 (1),
953030,luodahei234,0.90728 (44),0.00000 (1),0.00000 (1),
954961,candidate,0.90570 (45),0.00000 (1),0.00000 (1),
958517,Liximeng,0.90242 (46),0.00000 (1),0.00000 (1),
937087,silver777,0.89596 (47),0.00000 (1),0.00000 (1),
953036,luodahei235,0.87965 (48),0.00000 (1),0.00000 (1),
955794,leon237,0.87963 (49),0.00000 (1),0.00000 (1),
955938,YumZ,0.87668 (50),0.00000 (1),0.00000 (1),
958910,wmk,0.86634 (51),0.00000 (1),0.00000 (1),
969139,cmbBest,0.85091 (52),0.00000 (1),0.00000 (1),
969532,fake_ma,0.84800 (53),0.00000 (1),0.00000 (1),
959202,qiusz,0.84197 (54),0.00000 (1),0.00000 (1),
955243,lgfz,0.83703 (55),0.00000 (1),0.00000 (1),
949557,xro7,0.82884 (56),0.00000 (1),0.00000 (1),
950925,wo_wowoo,0.80116 (57),0.00000 (1),0.00000 (1),
948867,zdcccc,0.79749 (58),0.00000 (1),0.00000 (1),
951406,luodahei,0.75305 (59),0.00000 (1),0.00000 (1),
952207,kerry123,0.65365 (60),0.00000 (1),0.00000 (1),
933889,JimmyMi,0.59174 (61),0.00000 (1),0.00000 (1),
968960,waltsky,0.58858 (62),0.00000 (1),0.00000 (1),
933684,DaddyJin,0.48983 (63),0.00000 (1),0.00000 (1),
