submission_pk,User,MAE,MAE 1,MAE 2,Data Type
521049,mjeanmougin,0.0304 (1),0.0304 (1),-1.0000 (1),2.0 (2),
521077,mscherer,0.0379 (2),0.0379 (2),-1.0000 (1),1.0 (1),
521053,tmaie,0.0734 (3),0.0734 (3),-1.0000 (1),1.0 (1),
521121,remy.jardillier,0.0759 (4),0.0759 (4),-1.0000 (1),1.0 (1),
521048,NicolasSompairac,0.0774 (5),0.0774 (5),-1.0000 (1),3.0 (3),
521067,alcalan,0.0778 (6),0.0778 (6),-1.0000 (1),3.0 (3),
521073,silvia_bahena,0.0841 (7),0.0841 (7),-1.0000 (1),2.0 (2),
521227,Alexis_Arnaud,0.1152 (8),0.1152 (8),-1.0000 (1),3.0 (3),
521060,mariakondili,0.1197 (9),0.1197 (9),-1.0000 (1),3.0 (3),
