submission_pk,User,Subtask A Accuracy,Subtask B Accuracy,Subtask C BLEU
569366,KerenzaDoxolodeo,0.0 (1),80.5 (18),0.0 (1),
574716,wqmike123,0.0 (1),75.8 (20),0.0 (1),
569977,xlx,0.0 (1),94.3 (3),0.0 (1),
571467,Solomon,0.0 (1),94.0 (4),0.0 (1),
575265,bhu,0.0 (1),36.4 (28),0.0 (1),
575172,wonderful_tonight,0.0 (1),85.3 (15),0.0 (1),
575139,josefjon,0.0 (1),93.1 (10),0.0 (1),
574094,huangxt39,0.0 (1),93.2 (9),0.0 (1),
574077,w-h-m,0.0 (1),93.8 (5),0.0 (1),
574071,Hibiki12y,0.0 (1),0.0 (30),0.0 (1),
574070,lll_2020,0.0 (1),93.5 (7),0.0 (1),
574040,soumyard,0.0 (1),89.0 (14),0.0 (1),
574035,pmatosevic,0.0 (1),66.8 (24),0.0 (1),
574008,daminglu123,0.0 (1),73.5 (21),0.0 (1),
573985,thanet.mar,0.0 (1),65.9 (25),0.0 (1),
573937,Kayal_Sampath,0.0 (1),68.3 (23),0.0 (1),
571506,ieiu,0.0 (1),93.4 (8),0.0 (1),
571504,sirwe.saeedi,0.0 (1),93.7 (6),0.0 (1),
571498,zellford,0.0 (1),90.8 (13),0.0 (1),
571470,guo222,0.0 (1),93.5 (7),0.0 (1),
571463,ehsantaher,0.0 (1),79.3 (19),0.0 (1),
571412,cclab,0.0 (1),91.4 (12),0.0 (1),
571321,im0qianqian,0.0 (1),95.0 (1),0.0 (1),
571202,S.L.Liu,0.0 (1),93.7 (6),0.0 (1),
571195,m.khanddorj,0.0 (1),72.8 (22),0.0 (1),
571138,TMLab,0.0 (1),82.0 (17),0.0 (1),
571064,Prometheus,0.0 (1),0.0 (30),0.0 (1),
570182,jession,0.0 (1),94.8 (2),0.0 (1),
569593,dania,0.0 (1),55.5 (26),0.0 (1),
569478,lukez,0.0 (1),0.0 (30),0.0 (1),
569463,aliosm,0.0 (1),92.3 (11),0.0 (1),
569059,CarreyWong,0.0 (1),51.2 (27),0.0 (1),
568544,ayah,0.0 (1),0.0 (30),0.0 (1),
568476,wiem,0.0 (1),84.6 (16),0.0 (1),
568286,praveenjoshi007,0.0 (1),32.6 (29),0.0 (1),
