submission_pk,User,F1 Macro
566309,wml754,0.8266 (1),
562294,mpamies247,0.8076 (2),
563028,soumitra.ghosh,0.8033 (3),
560239,asking28,0.7970 (4),
563768,NLP_Passau,0.7862 (5),
565900,Andy3223,0.4225 (6),
563278,hanahata_KDE,0.4189 (7),
554690,xingchen123,0.4189 (7),
554618,yaoyinnan,0.4189 (7),
554419,hitachinlp,0.4189 (7),
542125,georgi.karadzhov,0.4189 (7),
